year,RRMSE,RMSE,MAE,MSE,MAPE
2012,26.82975512754699,8.254621327575292,7.70697724253587,68.13877326166087,28.98687716380553
2013,18.903364717648618,6.816913381273952,5.341195226375019,46.47030804779187,15.59279004430989
2014,8.0018809221824,3.4023235597222214,2.823723895583459,11.57580560504089,6.367318549710613
2015,14.840957263846906,6.047336728892285,4.706797149594923,36.57028151260964,11.181750971532722
2016,7.97273100581802,3.399420639337836,2.8734545654053734,11.556060683156062,6.580030251965212
2017,12.65249136336301,5.476721261569988,4.542936596635199,29.994475776932767,10.532250738032852
2018,14.921055443593689,5.964869545189,4.808532708349789,35.579668691123224,11.088738771995128
2019,8.273513576182967,3.6230109926942173,2.8726199359061133,13.126208653183138,6.500672706054204
2020,13.255343569108257,5.343797078860502,4.217500840899995,28.55616722003803,12.114299321401695
total,13.979434003346658,5.593326871783479,4.432637573476193,31.285305494615166,12.104969835423091
sd,5.7509030372172205,1.5651138918902034,1.4634433328408996,17.48558021048866,6.636398135272925
