year,RRMSE,RMSE,MAE,MSE,MAPE
2012,33.447839522089154,10.290785292962765,9.365712911858392,105.90026194585873,34.61068835550659
2013,26.322490004953004,9.492391276548052,7.324335916018767,90.10549214708556,20.91596468103973
2014,8.871556754703414,3.772101441083181,2.860056670078775,14.228749281821809,6.782422419441356
2015,11.413775149005248,4.650841616668472,4.0227600745652845,21.630327743335403,10.682679728877385
2016,9.430721320818082,4.021079938409767,3.310143299926029,16.169083871081497,7.861754704981198
2017,11.807070105993642,5.110774631594389,4.089199686577806,26.120017334948766,9.561664653515793
2018,10.7918300221322,4.314162525514276,3.2968567946653202,18.611998296551718,7.920679949918428
2019,9.537213497261247,4.176391205753068,3.1618575264010658,17.44224350349156,7.231908867248121
2020,14.127468518585967,5.695388022778515,4.574106077288986,32.43744473000897,13.953679523764217
total,15.421290735893889,6.170229771105989,4.667225439708936,38.07173542824267,13.280160320476982
sd,8.221932744704224,2.301627590329228,2.085551216155011,32.66938929378946,8.635905477717204
