year,RRMSE,RMSE,MAE,MSE,MAPE
2012,19.89232527965578,6.120205411040762,5.509677513326129,37.45691427333262,20.81041520084909
2013,25.114269697932308,9.056684020116256,7.64129800966487,82.02352544022914,22.94041080326111
2014,9.551610481474675,4.061253809004161,3.2231651845194125,16.493782501150807,7.212233119937999
2015,12.693875599159835,5.17245207152432,4.359812592663538,26.754260432216228,10.913673131416617
2016,10.116288167030362,4.3133925832185644,3.3718254771377665,18.60535557696492,7.565396472597488
2017,10.8222386858022,4.684483316854379,4.025943111375558,21.944383945887004,9.125139867176609
2018,19.11348055460315,7.640841393137782,6.534346188931977,58.38245719508772,16.01670728785766
2019,8.195822970544848,3.5889899065300206,2.809476410981074,12.880848549174365,6.30606486301344
2020,11.232304320937123,4.528223256240653,3.6844616202385945,20.504805858358708,10.653388108297902
total,14.310118977468639,5.725637604207175,4.5733340120932136,32.782925974711276,12.393714317156434
sd,5.501098128676966,1.7143898885571995,1.5509067449461744,21.778741468344847,5.757337842004998
