year,RRMSE,RMSE,MAE,MSE,MAPE
2012,43.34210354578966,13.33492052425462,11.672018140589572,177.8201053881871,45.11796444427254
2013,22.292421032792497,8.039071641968457,6.413900226757368,64.62667286470143,18.74743785118419
2014,16.68050036278103,7.092389892346277,5.80997732426304,50.301994385055636,13.063924773393603
2015,12.062878596438278,4.915335816653444,4.228571428571429,24.16052619047618,10.594736083351739
2016,15.987209425932816,6.8166415809429735,4.540850340136054,46.46660244304072,9.933347757056293
2017,19.486712032187913,8.434962493932767,6.501632653061226,71.14859227405248,14.201158978001086
2018,17.06207680096428,6.820768321147386,5.541190476190476,46.52288049076773,13.769784706411482
2019,18.896541507659347,8.274885509735016,6.502755102040815,68.47373019922254,15.653835572599139
2020,16.33151758850572,6.58393466210902,5.158809523809523,43.348195634920614,13.856593598940691
total,20.285121552654868,8.116302523456687,6.263300579491056,65.87436665226937,17.215420418356754
sd,8.58479869734537,2.199658570183251,2.0667970272571257,41.911404282976434,10.163521055742118
