region_name,year,y_test,y_pred
Zaporizka,2018,25.8,28.46396861498429
Zhytomyrska,2018,41.6,36.85486029228397
Cherkaska,2019,54.4,50.60387142796942
Chernihivska,2019,46.3,48.37895372439678
Chernivetska,2019,41.9,43.665522147670615
Dnipropetrovska,2019,37.0,37.29113415005835
Donetska,2019,37.2,35.72634264290307
Kharkivska,2019,42.1,39.28225665490201
Khmelnytska,2019,57.4,47.000647837732586
Kirovohradska,2019,43.8,42.96844426461398
Luhanska,2019,36.2,33.30380706433677
Lvivska,2019,47.8,44.24907496631129
Mykolaivska,2019,36.3,34.2516859007112
Odeska,2019,30.5,33.84449818313385
Poltavska,2019,48.0,49.379565535436384
Rivnenska,2019,44.1,47.2121061723936
Sumska,2019,48.3,49.95384163482746
Ternopilska,2019,51.1,46.29152177920886
Vinnytska,2019,55.2,50.735093734472805
Volynska,2019,43.9,45.66456780648783
Zakarpatska,2019,34.0,39.66980314349554
Zaporizka,2019,35.9,33.84122624737882
Zhytomyrska,2019,48.2,44.76199495001365
Cherkaska,2020,43.5,43.84490742428387
Chernihivska,2020,47.6,43.35806562505482
Chernivetska,2020,36.9,41.04533929876686
Dnipropetrovska,2020,38.6,33.16519819799384
Donetska,2020,39.3,34.77004711042969
Kharkivska,2020,50.5,39.48358941764787
Khmelnytska,2020,45.9,46.42290905000309
Kirovohradska,2020,36.0,39.30612172245728
Luhanska,2020,37.8,35.02347937570909
Lvivska,2020,44.9,46.19053084706271
Mykolaivska,2020,27.0,29.95513410962262
Odeska,2020,17.8,28.478525275682287
Poltavska,2020,44.8,39.75217114467116
Rivnenska,2020,43.8,43.286471534041304
Sumska,2020,52.3,42.714881575987775
Ternopilska,2020,47.0,48.10530639083948
Vinnytska,2020,42.7,46.52015164526799
Volynska,2020,44.1,41.80838299699672
Zakarpatska,2020,34.0,44.56828449695416
Zaporizka,2020,31.0,33.04455247387497
Zhytomyrska,2020,41.1,39.13463552649433
