year,RRMSE,RMSE,MAE,MSE,MAPE
2012,24.934290199238678,7.671449951299101,7.028522957739096,58.851144355286976,26.06668480002698
2013,18.064831315100964,6.514522264250457,5.265798742630243,42.43900033141491,15.86752994629431
2014,7.992235205485261,3.3982222928465666,2.8524705452332157,11.547914751599377,6.607106991013188
2015,14.409680637595123,5.871601772185785,4.643542084221922,34.47570737113525,10.83778102162722
2016,8.788081133456638,3.747070403284321,3.2525702467999986,14.040536607169324,7.588502164682389
2017,12.262012264953693,5.307699594687097,4.189528562834822,28.17167498744158,9.423250236131732
2018,16.481020025543874,6.5884839578305145,5.3474885148408235,43.408120862590046,12.5523523149492
2019,8.426832019096652,3.690149868933944,3.0306678584450455,13.617206055193204,6.837776870479695
2020,13.352195741827172,5.382842340490899,4.199278106180415,28.974991662581537,11.883847854252535
total,13.828646057666816,5.532994939295357,4.4233186243250655,30.614032998268023,11.96275913327303
sd,5.163741981170368,1.4018990623344723,1.259717529219065,15.097854396379253,5.737973507024389
