region_name,year,y_test,y_pred
Zaporizka,2018,25.8,25.48268699645996
Zhytomyrska,2018,41.6,35.97829055786133
Cherkaska,2019,54.4,51.9776496887207
Chernihivska,2019,46.3,49.157386779785156
Chernivetska,2019,41.9,46.350032806396484
Dnipropetrovska,2019,37.0,37.648521423339844
Donetska,2019,37.2,35.54787063598633
Kharkivska,2019,42.1,39.6962776184082
Khmelnytska,2019,57.4,48.189453125
Kirovohradska,2019,43.8,47.15494918823242
Luhanska,2019,36.2,34.200008392333984
Lvivska,2019,47.8,44.87980651855469
Mykolaivska,2019,36.3,35.174861907958984
Odeska,2019,30.5,33.37538146972656
Poltavska,2019,48.0,50.81114196777344
Rivnenska,2019,44.1,47.097618103027344
Sumska,2019,48.3,47.97261428833008
Ternopilska,2019,51.1,48.40642547607422
Vinnytska,2019,55.2,53.096900939941406
Volynska,2019,43.9,43.21189498901367
Zakarpatska,2019,34.0,39.20493698120117
Zaporizka,2019,35.9,33.841102600097656
Zhytomyrska,2019,48.2,49.07857131958008
Cherkaska,2020,43.5,44.02655792236328
Chernihivska,2020,47.6,43.921043395996094
Chernivetska,2020,36.9,43.045597076416016
Dnipropetrovska,2020,38.6,36.05162048339844
Donetska,2020,39.3,37.41080856323242
Kharkivska,2020,50.5,39.37958908081055
Khmelnytska,2020,45.9,46.761962890625
Kirovohradska,2020,36.0,38.52204132080078
Luhanska,2020,37.8,36.81119918823242
Lvivska,2020,44.9,44.34127426147461
Mykolaivska,2020,27.0,26.888755798339844
Odeska,2020,17.8,26.088218688964844
Poltavska,2020,44.8,39.95030975341797
Rivnenska,2020,43.8,45.102760314941406
Sumska,2020,52.3,42.020843505859375
Ternopilska,2020,47.0,47.64990234375
Vinnytska,2020,42.7,46.313385009765625
Volynska,2020,44.1,43.52427291870117
Zakarpatska,2020,34.0,42.13825988769531
Zaporizka,2020,31.0,35.24980163574219
Zhytomyrska,2020,41.1,39.97202682495117
