year,RRMSE,RMSE,MAE,MSE,MAPE
2011,26.692098881769393,9.0003215324671,7.325883605164359,81.0057876877909,22.756516764304894
2012,29.83160389943797,9.178190133060417,8.255814413820136,84.2391741186076,32.028234630704276
2013,26.844762518156536,9.680732692857116,7.621644938462507,93.71658547055259,21.754422198016755
2014,10.845822314965927,4.611540354777656,3.5798854443922608,21.266304443742825,8.326504416843708
2015,8.773798018445927,3.5751137925638945,2.6905523709328607,12.781438629780594,6.441427272977404
2016,9.76837300358874,4.1650481844825515,3.5698900364319908,17.3476263790614,8.338454365114005
2017,13.664094420430201,5.914600870557643,4.582155588075478,34.982503458001226,10.424401382881594
2018,13.777322836199007,5.507648819518602,4.273648107931595,30.33419551914465,10.03914973663612
2019,9.357904866170202,4.097871102347675,3.5481236763537987,16.792547571456147,7.9445959939443656
2020,14.601174168561379,5.886359071954318,4.590027359546501,34.6492231239789,13.911822054499897
total,16.594947804817302,6.535406539780955,5.003762554111148,42.71153864021168,14.196552881592304
sd,7.717530041475672,2.1781795353258846,1.8776750069265185,29.565651454630494,8.049603525016536
