region_name,year,y_test,y_pred
Dnipropetrovska,2018,30.0,21.642857142857142
Donetska,2018,27.1,21.642857142857142
Kharkivska,2018,33.7,36.477777777777774
Khmelnytska,2018,54.4,36.477777777777774
Kirovohradska,2018,36.2,36.477777777777774
Luhanska,2018,29.3,30.05
Lvivska,2018,45.5,36.53888888888889
Mykolaivska,2018,31.2,21.642857142857142
Odeska,2018,37.3,21.642857142857142
Poltavska,2018,42.9,48.64166666666666
Rivnenska,2018,45.0,36.477777777777774
Sumska,2018,50.0,48.64166666666666
Ternopilska,2018,51.2,36.477777777777774
Vinnytska,2018,51.5,36.477777777777774
Volynska,2018,42.8,36.53888888888889
Zakarpatska,2018,30.7,31.288888888888884
Zaporizka,2018,25.8,21.642857142857142
Zhytomyrska,2018,41.6,36.477777777777774
Cherkaska,2019,54.4,46.09374999999999
Chernihivska,2019,46.3,48.81333333333334
Chernivetska,2019,41.9,48.81333333333334
Dnipropetrovska,2019,37.0,31.700000000000003
Donetska,2019,37.2,31.700000000000003
Kharkivska,2019,42.1,31.700000000000003
Khmelnytska,2019,57.4,48.81333333333334
Kirovohradska,2019,43.8,48.81333333333334
Luhanska,2019,36.2,31.700000000000003
Lvivska,2019,47.8,49.025000000000006
Mykolaivska,2019,36.3,31.700000000000003
Odeska,2019,30.5,37.150000000000006
Poltavska,2019,48.0,46.09374999999999
Rivnenska,2019,44.1,43.58181818181819
Sumska,2019,48.3,46.09374999999999
Ternopilska,2019,51.1,53.1
Vinnytska,2019,55.2,46.09374999999999
Volynska,2019,43.9,49.025000000000006
Zakarpatska,2019,34.0,31.700000000000003
Zaporizka,2019,35.9,31.700000000000003
Zhytomyrska,2019,48.2,48.81333333333334
Cherkaska,2020,43.5,37.43333333333333
Chernihivska,2020,47.6,37.43333333333333
Chernivetska,2020,36.9,44.525
Dnipropetrovska,2020,38.6,35.32857142857143
Donetska,2020,39.3,39.480000000000004
Kharkivska,2020,50.5,34.21111111111111
Khmelnytska,2020,45.9,37.43333333333333
Kirovohradska,2020,36.0,31.5125
Luhanska,2020,37.8,34.21111111111111
Lvivska,2020,44.9,45.75555555555556
Mykolaivska,2020,27.0,31.5125
Odeska,2020,17.8,31.5125
Poltavska,2020,44.8,37.43333333333333
Rivnenska,2020,43.8,45.75555555555556
Sumska,2020,52.3,37.43333333333333
Ternopilska,2020,47.0,45.75555555555556
Vinnytska,2020,42.7,37.43333333333333
Volynska,2020,44.1,44.525
Zakarpatska,2020,34.0,37.43333333333333
Zaporizka,2020,31.0,35.32857142857143
Zhytomyrska,2020,41.1,37.43333333333333
