region_name,year,y_test,y_pred
Zaporizka,2017,33.3,32.797752872385985
Zhytomyrska,2017,42.5,38.37622841413882
Cherkaska,2018,48.3,38.29053200684568
Chernihivska,2018,41.3,40.5019250218764
Chernivetska,2018,43.7,37.91709698323179
Dnipropetrovska,2018,30.0,24.17281110695721
Donetska,2018,27.1,23.7883671594691
Kharkivska,2018,33.7,32.70633565330917
Khmelnytska,2018,54.4,36.823866930687345
Kirovohradska,2018,36.2,31.05110638021635
Luhanska,2018,29.3,29.310140475567675
Lvivska,2018,45.5,33.433773079302895
Mykolaivska,2018,31.2,23.04145720293236
Odeska,2018,37.3,27.4572325943122
Poltavska,2018,42.9,41.90154712165368
Rivnenska,2018,45.0,32.845017540413025
Sumska,2018,50.0,43.51372517936561
Ternopilska,2018,51.2,36.87791209297559
Vinnytska,2018,51.5,37.48138099228082
Volynska,2018,42.8,28.120902363011634
Zakarpatska,2018,30.7,22.71083376034198
Zaporizka,2018,25.8,19.06286308520856
Zhytomyrska,2018,41.6,30.801147871592075
Cherkaska,2019,54.4,54.401954794123405
Chernihivska,2019,46.3,49.027336197305964
Chernivetska,2019,41.9,42.0729206443901
Dnipropetrovska,2019,37.0,36.0356711479543
Donetska,2019,37.2,34.14123374284383
Kharkivska,2019,42.1,39.6999898430601
Khmelnytska,2019,57.4,47.66418273832567
Kirovohradska,2019,43.8,44.07872082391912
Luhanska,2019,36.2,34.20704006228902
Lvivska,2019,47.8,45.92601265569933
Mykolaivska,2019,36.3,35.50716008343888
Odeska,2019,30.5,29.03537578547229
Poltavska,2019,48.0,50.4196686749081
Rivnenska,2019,44.1,45.74122942065721
Sumska,2019,48.3,53.424701099182066
Ternopilska,2019,51.1,47.73129318168463
Vinnytska,2019,55.2,50.699796255120894
Volynska,2019,43.9,46.10195188717139
Zakarpatska,2019,34.0,38.150601541298634
Zaporizka,2019,35.9,32.66532623005758
Zhytomyrska,2019,48.2,44.75720740598893
Cherkaska,2020,43.5,46.58402577766867
Chernihivska,2020,47.6,43.768194517694326
Chernivetska,2020,36.9,47.94866233968412
Dnipropetrovska,2020,38.6,37.5061220660875
Donetska,2020,39.3,36.78695682956598
Kharkivska,2020,50.5,45.27269837912979
Khmelnytska,2020,45.9,43.43013172935636
Kirovohradska,2020,36.0,41.49640516061626
Luhanska,2020,37.8,37.366419839414704
Lvivska,2020,44.9,47.44569134642208
Mykolaivska,2020,27.0,32.35820693158732
Odeska,2020,17.8,27.177276945836415
Poltavska,2020,44.8,44.99290722132909
Rivnenska,2020,43.8,43.56178467218808
Sumska,2020,52.3,47.812497593525705
Ternopilska,2020,47.0,45.30560226329004
Vinnytska,2020,42.7,47.023113269902154
Volynska,2020,44.1,48.10087043291429
Zakarpatska,2020,34.0,39.478575813387835
Zaporizka,2020,31.0,31.067511958368957
Zhytomyrska,2020,41.1,37.604650512757274
