region_name,year,month,LAI,LST_Day,NDVI,EVI,FPAR,LST_Night
Avtonomna_Respublika_Krym,2023,5,0.046367413832681344,296.34755401591565,0.44294818360457555,0.28340536034351876,0.15400434198633903,280.8476396972201
Cherkaska,2023,5,0.052559385442451576,303.8944435300585,0.49147195360828627,0.3296064130723034,0.15561544743709402,283.61981045822057
Chernihivska,2023,5,0.06893556083220059,302.1509350438793,0.49538065254870944,0.35317075027735134,0.2047656506328841,282.0788311406977
Chernivetska,2023,5,0.06812253405639465,299.61582045008066,0.5213831342311678,0.3810982252621103,0.18090859575636292,282.5332501283223
Dnipropetrovska,2023,5,0.03412605718869007,302.18110133370607,0.4662098138706916,0.28320595142946425,0.1361048090860771,283.53554881574115
Donetska,2023,5,0.039873904585261216,273.98065833267435,0.5220976537535307,0.319438369286386,0.1464993621581651,278.6328671616332
Ivano_Frankivska,2023,5,0.07126352570438954,297.60132913975457,0.5522224714764147,0.4222283374433922,0.1853791112712835,281.36197300537606
Kharkivska,2023,5,0.03319878724444415,303.31556358045043,0.4597393990383045,0.2600147006476611,0.1317303208117866,282.64554210622856
Khersonska,2023,5,0.042348052632902373,298.4671273076285,0.43587097830793825,0.2736982338525014,0.14977852989021276,279.15534918153236
Khmelnytska,2023,5,0.05235444241387756,300.78304390870284,0.5007670874239425,0.3663406644903254,0.16058375070053085,281.9340570655284
Kirovohradska,2023,5,0.03773983197854686,304.58025894881405,0.4572688951009287,0.27629708801795405,0.1352642204003657,282.4638935576066
Luhanska,2023,5,0.03880376971409758,295.45099187146167,0.4752446714387027,0.27481082009035773,0.1412686747784177,259.3280311330374
Lvivska,2023,5,0.0670938674856824,298.599671414604,0.5181373988290398,0.37984567702070937,0.19113200882385017,281.7589074271951
Mykolaivska,2023,5,0.050392383969849915,302.0956363577266,0.4974726981268257,0.3180109709864794,0.1634732648684123,283.40145835145955
Odeska,2023,5,0.06673675257663937,300.5147515260583,0.5268498508884503,0.36313231862742046,0.18674073171177552,282.5291208395541
Poltavska,2023,5,0.042833819145485584,304.18062685928277,0.4657164265237373,0.29259286264692447,0.1440508216009082,283.60433665944095
Rivnenska,2023,5,0.0578544652318171,300.35727203288434,0.46368362890574855,0.33781135579668314,0.1933949590808813,282.08264297482253
Sumska,2023,5,0.05954678652118673,302.5995523951774,0.4972624736728498,0.3379031272853103,0.1926025854838097,282.7784548545675
Ternopilska,2023,5,0.055304448052533685,298.8404174395496,0.5229350784468294,0.39178889169981423,0.16478255864021266,281.7333082748216
Vinnytska,2023,5,0.06095636978488878,301.341044064672,0.5182029014813431,0.3834881685825141,0.16957815339709348,282.63712148670527
Volynska,2023,5,0.0769424620814986,298.54242357173706,0.513720717810343,0.38604076171983276,0.23134933711875305,281.7122229111658
Zakarpatska,2023,5,0.05646300190161464,299.8993507895541,0.5057506908556578,0.3502806881993751,0.17315093456004535,284.59454035564437
Zaporizka,2023,5,0.03978905320038519,289.66132081298076,0.45758492748266744,0.27642901192874403,0.14544041591033885,282.9870321505993
Zhytomyrska,2023,5,0.05332215108205112,302.17869162271154,0.4590061882340716,0.3232338709143381,0.17868428238937853,281.96279133654264
Avtonomna_Respublika_Krym,2023,9,0.01211195510782055,304.02143348774956,0.2096851871301503,0.11209444392561589,0.07613391910953951,285.4165107194011
Cherkaska,2023,9,0.026604469082118453,300.16407018436087,0.31774711293634766,0.17238939733388844,0.14712668255210964,283.68120326690945
Chernihivska,2023,9,0.034577996406079385,297.0385728366229,0.37889777413569725,0.20897367642478384,0.17299273446789934,282.44635450904445
Chernivetska,2023,9,0.03354033451513286,298.2932684420543,0.3703827916681314,0.20195403048455401,0.1652709637747186,285.2580014506235
Dnipropetrovska,2023,9,0.014915937984501814,302.0484674625748,0.2923223372391646,0.13883357083138104,0.10810466168477446,284.1962064032558
