region_name,year,month,EVI,LST_Day,NDVI,LST_Night,LAI,FPAR
Avtonomna_Respublika_Krym,2018,4,0.28353352587404657,303.65502955265015,0.4592452310876616,280.6676030306857,0.06071474802817855,0.20616929592509015
Cherkaska,2018,4,0.21032850065545353,301.5673710104521,0.39047135332405214,281.8266189577036,0.03148221582183575,0.12925419871313407
Chernihivska,2018,4,0.19625330709481434,297.4481545621698,0.35527470546196604,280.4529832616665,0.02336838004267948,0.10869001585696884
Chernivetska,2018,4,0.3055665053844269,300.3401678718961,0.4801782983376335,283.692615632712,0.05791784355038266,0.193471069742082
Dnipropetrovska,2018,4,0.23285684754885586,303.08333945218186,0.44547411324010383,281.51679663367923,0.030136585737587585,0.13686811195595566
Donetska,2018,4,0.2225813086039328,304.00572098425624,0.42711240955108576,280.87676578402215,0.024535985722351526,0.11207999461513872
Ivano_Frankivska,2018,4,0.3393659163634014,298.74082687091345,0.5094885426329893,283.08835170845015,0.06813487284292737,0.2134714691005519
Kharkivska,2018,4,0.18256042785544732,302.6466006422407,0.3883028281349418,280.1695806391878,0.01749742694671755,0.08550950116890244
Khersonska,2018,4,0.26928215229889707,303.13519891974585,0.4450462368820785,281.14958596677627,0.05523308128165266,0.19516720615124847
Khmelnytska,2018,4,0.26825895575003966,300.69445872065626,0.429025663722558,282.27582421257625,0.047345342035358194,0.1675621016706126
Kirovohradska,2018,4,0.1965596638386975,304.06097101089165,0.3983914072514148,281.4650601585141,0.029456328386718824,0.1241539058691323
Luhanska,2018,4,0.19556137204693733,302.0782235991279,0.39587134062322815,280.6729116661672,0.02035008147317969,0.09526976538522264
Lvivska,2018,4,0.3703883458377725,298.40198863365305,0.5295609182932925,282.3085680927707,0.06891067275601269,0.22165065468593267
Mykolaivska,2018,4,0.25238062592251753,304.2932584088083,0.4601052864772482,281.9876756762261,0.04598827536443827,0.17467758527659602
Odeska,2018,4,0.3274003676922718,301.73035142879013,0.5354669588537009,282.1852367432914,0.07605941017535847,0.2321362951748169
Poltavska,2018,4,0.1640821903593628,300.4383485308107,0.3529152776830465,280.9108493951672,0.02041551561401805,0.09013217585131147
Rivnenska,2018,4,0.3115966540353754,298.39726261025913,0.4525861042889707,282.7026243556015,0.048662592983264995,0.182839737924416
Sumska,2018,4,0.1669201933815685,297.45313946163463,0.34714799250090955,279.3494778996764,0.019293193936542632,0.08983303868111626
Ternopilska,2018,4,0.29919344608514237,299.6227759586819,0.46827315006477677,282.58514632638304,0.05588417749388447,0.18962881740709317
Vinnytska,2018,4,0.2730580628921826,301.2198153491634,0.43412762582501596,282.214483293926,0.046053221030060425,0.16564859707178642
Volynska,2018,4,0.34789701946880097,297.2242924827238,0.497259826305986,282.51203125710197,0.05975173489563561,0.21059676222415324
Zakarpatska,2018,4,0.31997136024288786,299.84027147299787,0.45463306326959485,284.15739049722487,0.06004971610911203,0.21424119669393185
Zaporizka,2018,4,0.24647803464931467,304.7151482731902,0.4534022226833018,280.4331671286438,0.04070466462363306,0.16139280239798842
Zhytomyrska,2018,4,0.2731889266564918,298.7524057412451,0.43046844824873676,281.49335504150173,0.04369989398628339,0.16577543440556697
Avtonomna_Respublika_Krym,2018,6,0.1407788251793195,313.1222650408611,0.2393366603827874,290.05539385617766,0.018737238951675166,0.09185811563073697
Cherkaska,2018,6,0.43647496244603395,298.4164828721849,0.5991175505067883,287.02432608498873,0.09797289576413296,0.2601000472492662
Chernihivska,2018,6,0.4460020897258163,289.45600882417585,0.6070712386578918,276.64456434460936,0.1000698566117662,0.2617676156600959
Chernivetska,2018,6,0.4206766674172146,291.65840229679327,0.5725550957726263,222.03535466825713,0.08367658151430636,0.23974527844721497
Dnipropetrovska,2018,6,0.2679145587541895,306.7650642614986,0.41930732987510017,288.4638571168007,0.03761744457684094,0.1672853791448934
Donetska,2018,6,0.2264831599176866,310.9301559517535,0.3840504577793892,288.90861061074696,0.03611131199015443,0.15781169526547478
Ivano_Frankivska,2018,6,0.40011374816742623,264.37926302095013,0.5706477061806784,210.36314129264898,0.07962804739549702,0.2298133733955
Kharkivska,2018,6,0.3355304947238742,304.9699989353863,0.5153942505615944,287.42436960172785,0.06083125320115342,0.21468495462532244
Khersonska,2018,6,0.2020196882244055,310.59934900181094,0.31072739239230907,289.64994027620367,0.029500830733865755,0.1294149843246273
Khmelnytska,2018,6,0.43014779760967536,270.8100386449598,0.5947930788762286,225.84911466574374,0.0845229490377953,0.23878701386042178
Kirovohradska,2018,6,0.3438104013699776,304.90117412000126,0.5178250708819394,287.198318073131,0.05952309128478137,0.20538565830854508
Luhanska,2018,6,0.28717488931579865,308.22114376375544,0.4671892448098864,287.6204001346054,0.054720130320538636,0.20229289504387601
Lvivska,2018,6,0.40720769355341374,249.30187514475378,0.5640701829752807,249.56032632882807,0.09027137399816537,0.2427266740440487
Mykolaivska,2018,6,0.23338758342050878,308.0897310545349,0.37805628211615827,289.6618090695685,0.03569638813022064,0.150909187186615
Odeska,2018,6,0.2445330355483366,306.2008707129177,0.37737958341427885,289.18068885565344,0.04012838589448307,0.16053806332291418
Poltavska,2018,6,0.44665509078836335,301.04748624907904,0.6211348180856088,286.8384312671617,0.10166267189318282,0.2673608180427916
Rivnenska,2018,6,0.3906980924159142,255.36613016287842,0.5531163934009274,216.37894901834014,0.08365606303926179,0.2398083123730012
Sumska,2018,6,0.4565836806504944,295.49904484422814,0.6216538812260886,280.68092524683703,0.10741826114852175,0.27229135481602296
Ternopilska,2018,6,0.41217558378479635,250.85923953492247,0.5813602642901926,216.1859665950016,0.08680135982718036,0.24088643617119626
Vinnytska,2018,6,0.42780585557122486,285.0712989936405,0.5803412678037483,270.60181309340226,0.08550453114874218,0.24066748378479294
Volynska,2018,6,0.35721763153040736,239.37491593968392,0.5233467697626709,232.36633683330243,0.07332548775251396,0.22189135118474387
Zakarpatska,2018,6,0.34724521053350627,279.83751691905013,0.5025380360973434,205.33765680937458,0.05918093449807202,0.211163502334057
Zaporizka,2018,6,0.18717153766772984,312.6681971618129,0.3061677626226836,289.4516368371491,0.02696574116922835,0.12860000010666484
Zhytomyrska,2018,6,0.4031421066790629,288.9729383619234,0.565377483305207,227.53432057198472,0.08067062380740522,0.23707479616690333
Avtonomna_Respublika_Krym,2018,3,0.22037928936996506,285.1670300381695,0.39915045567297536,257.2181936849721,0.023523471729362602,0.11640109245756115
Cherkaska,2018,3,0.08342486215654044,198.34336735113982,0.21248479789783647,228.8333151096389,0.0035988829596032856,0.02135379921287819
Chernihivska,2018,3,0.0627513648893461,212.33760053018506,0.156869456873055,213.2128096735928,0.00247156120620385,0.0145671996584311
Chernivetska,2018,3,0.17111195498161122,270.4098594953673,0.3168019962186523,220.36649357613285,0.009742720658517496,0.051214164263641025
Dnipropetrovska,2018,3,0.08521532354559433,211.06860084613632,0.20292498323961042,223.36693612557298,0.004104197944428786,0.02852207575710057
Donetska,2018,3,0.09332558904859607,211.83680626757402,0.23654846977874502,226.44536942046548,0.004638396524103629,0.030022633931730852
Ivano_Frankivska,2018,3,0.16757871724743736,222.384572721765,0.29150153921560984,194.4791019503187,0.00840209373448458,0.045155921602600325
Kharkivska,2018,3,0.04756207100270377,212.8595497759677,0.15062516953205496,248.93649276733967,0.001806219812562131,0.011423181039967435
Khersonska,2018,3,0.17652628871352122,247.05424642609907,0.3446382589776791,219.93595501352422,0.016648933818348564,0.08689123677515834
Khmelnytska,2018,3,0.1425567790256256,260.54940061042424,0.2901288809842403,193.3342888937017,0.0069714929195389495,0.04100541157618618
Kirovohradska,2018,3,0.08578583894773416,198.73050590801608,0.21760256254103524,234.86012175677575,0.0037072000834762484,0.024094951902816603
Luhanska,2018,3,0.06588854341020747,221.25850401625277,0.17466426479532376,239.94710937375672,0.0023747868082537615,0.015663975686434576
Lvivska,2018,3,0.18801211423645028,208.15455490087925,0.3095111390411825,205.52806138356775,0.011184372717344156,0.06179217516689326
Mykolaivska,2018,3,0.14150986164944065,266.69064368986693,0.3147188592277348,227.40534836833228,0.010524671509358421,0.057761384662285496
Odeska,2018,3,0.20857754839703457,267.57931669653016,0.39154381734803084,213.85143165388925,0.01939911552355909,0.0958408073858659
Poltavska,2018,3,0.03833353151914735,197.12550738441556,0.12232616319354721,252.77196311953787,0.0020849639101904894,0.013139556004244867
Rivnenska,2018,3,0.16584108496574737,207.7288537157191,0.2903088940262494,192.50002663945995,0.007932413043867492,0.046412879216811066
Sumska,2018,3,0.026645546127769554,214.50330110336787,0.09625869901502683,239.973956701404,0.0016643774144446636,0.010217709973297089
Ternopilska,2018,3,0.14853143357080326,222.19685134341697,0.2884286000080327,206.00992337759467,0.007652435691623387,0.0435826893506664
Vinnytska,2018,3,0.13118192095393932,269.1814512858256,0.25913541412945346,194.26582172808537,0.0064873314167119625,0.036005288305983235
Volynska,2018,3,0.2021612608994325,208.80686583556172,0.34524591671261634,182.70685491738274,0.009522805067598568,0.05684976677506541
Zakarpatska,2018,3,0.17937571189606719,206.75518961988615,0.29744480333998996,232.22970705521797,0.013840747111291248,0.08123985492609247
Zaporizka,2018,3,0.13728630179232656,205.8671630998334,0.2962595087395642,247.1044459679885,0.009571729792871686,0.05551018763230313
Zhytomyrska,2018,3,0.1283009538230982,264.2558033565857,0.25423372897327173,174.46733292112356,0.005779413125732674,0.033841293113267265
Avtonomna_Respublika_Krym,2018,9,0.15457042794185338,300.0607207292677,0.2934738945431774,283.1415421108851,0.016949667086387368,0.09614561369285664
Cherkaska,2018,9,0.16976072880637555,296.2059593884443,0.3513458157207637,281.5066691510988,0.023500728897191545,0.12413443086185078
Chernihivska,2018,9,0.1919274202698455,296.63697493719997,0.3565238993575606,275.7663058139621,0.027596862558702855,0.15032339853098584
Chernivetska,2018,9,0.18974236214823756,298.33483007804887,0.3494486176859548,281.6909267116032,0.026879838354490267,0.14321149910081357
Dnipropetrovska,2018,9,0.1465529558865956,299.9689283990546,0.3201721776096648,282.6747202157749,0.0125515566986688,0.08298535638198147
Donetska,2018,9,0.1294820276065506,302.4491179515493,0.29383198648126185,282.4154092339179,0.011853415319124412,0.07608235186417985
Ivano_Frankivska,2018,9,0.25551478537215555,295.1965938764614,0.44050228964807253,280.8687047393973,0.04368708020582322,0.19166672979006158
Kharkivska,2018,9,0.11489310899127862,301.53267368707674,0.2889655054048372,282.0064405203031,0.011408877858579912,0.07319168056247932
Khersonska,2018,9,0.14081318455115915,303.0475269056049,0.2736806267486175,282.1993763068089,0.014622136777892387,0.08520467123327649
Khmelnytska,2018,9,0.20367590342755348,267.8378554059463,0.3721126007331714,266.21252403680523,0.03110661598038488,0.15384458236210782
Kirovohradska,2018,9,0.1349382133627606,294.26493557504784,0.30756477870997834,282.09368792787586,0.013257746544319153,0.08205729938904438
Luhanska,2018,9,0.1233476197710509,302.1425634022597,0.28235265074088095,282.0914138131594,0.013030146852800992,0.08187123715528331
Lvivska,2018,9,0.27327458083525613,294.66529509471405,0.46085430318508264,280.36040435837276,0.04424354150374879,0.1961954321366125
Mykolaivska,2018,9,0.15517038116722462,300.37453633265784,0.3248006936088629,282.61581327697263,0.015741949142065025,0.09096295045005248
Odeska,2018,9,0.1442838705140134,298.6050392639623,0.3054145752670418,282.64627402850243,0.015381512802365991,0.08706516368344436
Poltavska,2018,9,0.14334453239683376,290.83910579562144,0.3070822012558556,281.6807725399543,0.016807146328351914,0.09972471023102969
Rivnenska,2018,9,0.23627887872309192,288.9430476180764,0.3903797629367593,280.58566612514824,0.035475650759283515,0.17388489767349719
Sumska,2018,9,0.1537911614448436,297.13778326468525,0.32253350283834037,280.9997333242625,0.020514847521667417,0.11717609888088276
Ternopilska,2018,9,0.2142732707389688,280.50543272468826,0.3830659044827496,274.98433703597203,0.034342095880897365,0.160865059321767
Vinnytska,2018,9,0.18655159323157583,292.85534951851565,0.36312276264590093,280.42666474619574,0.02763409326345036,0.1411960480648667
Volynska,2018,9,0.26872747653634027,295.44500459188606,0.42543283850501584,280.2251711868899,0.039489062435600276,0.18725139417272513
Zakarpatska,2018,9,0.17996968407919434,275.6303946295418,0.3318411159707021,281.38234572014363,0.02570760547381307,0.13995696204648803
Zaporizka,2018,9,0.14296375495315358,302.36659360078033,0.30749888863843694,282.57038517862367,0.012878883690175591,0.07918238818903006
Zhytomyrska,2018,9,0.23389819222637426,290.56425896462207,0.4101961724993291,268.01943483697005,0.036025315411180384,0.1744209101820589
Avtonomna_Respublika_Krym,2018,7,0.15950598729986668,310.6575284731394,0.2730351111001796,291.0684872920687,0.02069241808954557,0.09512610908576881
Cherkaska,2018,7,0.4275330503765527,296.57896808142283,0.5936539510677744,270.56291450300523,0.10276369049435467,0.25599546725641015
Chernihivska,2018,7,0.45199707704937647,297.5630203054116,0.6110767878763456,250.0732118394842,0.11577655287462965,0.2668267057952865
Chernivetska,2018,7,0.411078264201694,294.84691923983837,0.548758584197658,270.88345250971184,0.0840014535036975,0.23256334279643795
Dnipropetrovska,2018,7,0.2722845747129689,306.8722775400237,0.43105444199590776,288.6189644145707,0.040609224776196,0.1721494790863726
Donetska,2018,7,0.23767156784629653,308.1477956466596,0.4050800678863841,289.9812526380409,0.03529272282698263,0.15300262018293082
Ivano_Frankivska,2018,7,0.3979300330455348,274.5799225083186,0.5562903928044022,273.60456161424787,0.08251513875835827,0.22626776699894594
Kharkivska,2018,7,0.3122642549035192,301.6994143215371,0.4853099363744803,282.5373084652552,0.05775410649947946,0.2027513450691592
Khersonska,2018,7,0.2113005213490847,309.66197677413106,0.33706348192979235,289.4785276827585,0.03194247207665221,0.1305815720939392
Khmelnytska,2018,7,0.4100625488723964,283.2573704608971,0.5594703635053945,277.8787973573617,0.09705128315044113,0.24465962223200305
Kirovohradska,2018,7,0.34737822168334825,302.3731146036636,0.5184503244409007,288.9606618466595,0.0693309871338118,0.21775336446135485
Luhanska,2018,7,0.28032721031165675,305.2221281214192,0.4517413186407698,282.8650572663273,0.05181636255504919,0.19075988616028047
