region_name,year,month,LST_Day,LAI,LST_Night,FPAR,NDVI,EVI
Avtonomna_Respublika_Krym,2013,3,238.00194099667118,0.01659732454394619,245.7019344261542,0.08737745254209335,0.3619543681885578,0.19937974982329243
Cherkaska,2013,3,275.5407185256079,0.010312922958824002,238.16168774961756,0.061071669381115,0.28369445258028686,0.13006006688233102
Chernihivska,2013,3,219.54561283904005,0.002678806647798796,261.850916066788,0.01871748933187714,0.09434749516572817,0.039662781130176364
Chernivetska,2013,3,198.63109078446212,0.002754265634950851,223.84415854702763,0.017468143299211196,0.11324884112464481,0.06388078838367732
Dnipropetrovska,2013,3,271.1274125630248,0.012324887810477017,242.43663301807914,0.07733583477403973,0.3379869343662525,0.16034149548655202
Donetska,2013,3,280.02289560605493,0.008838756166881914,256.9503661073635,0.05509131512418761,0.28544424080773195,0.1262741989881473
Ivano_Frankivska,2013,3,194.73437733363355,0.0016771064409726213,180.49150204335345,0.012166158215978762,0.11117237130773605,0.06547945708215333
Kharkivska,2013,3,247.69110480065532,0.00854135174057385,253.8036286330655,0.05388238676366259,0.25519817448021503,0.11281002361505532
Khersonska,2013,3,275.24871273273294,0.014880624920768686,238.09060254792385,0.08185960187785712,0.34123408189106774,0.17242674235583083
Khmelnytska,2013,3,245.46193445625096,0.0006742615770761342,185.01426100021294,0.0045929603103265545,0.07540459962166489,0.03383167262875153
Kirovohradska,2013,3,266.30586601749997,0.011594710459899014,248.75059329603417,0.06772193438910144,0.2978010935463522,0.1354489155385241
Luhanska,2013,3,272.94503979108964,0.006610452430701009,233.03712131618616,0.042035801129413235,0.2382072274148943,0.09582133103398152
Lvivska,2013,3,218.90418239447314,0.0019739391423939812,163.06284808890467,0.013737656365123746,0.13275825477061381,0.06705891905515005
Mykolaivska,2013,3,283.1504039553775,0.015172975308154008,239.41570637136599,0.08560223906497373,0.35305496806915965,0.16862515302066156
Odeska,2013,3,285.49247293790785,0.01863407280934486,240.04753336100563,0.10017700317214102,0.35977879231075793,0.18400543477869336
Poltavska,2013,3,241.5025364146184,0.007776351590304242,250.40955272784436,0.04510637233416395,0.24736134947722646,0.10312479349036956
Rivnenska,2013,3,245.2254032400777,0.00034849443346803976,216.88389610223658,0.0030949272481125526,0.07388759382791384,0.03919421192627545
Sumska,2013,3,221.70573506785533,0.003311382940586671,242.69040174073626,0.01945925380891667,0.11645831725931872,0.04434769156370456
Ternopilska,2013,3,238.7109623878085,0.00028140190245943533,199.7893364402259,0.0020421623690655864,0.07417516248045745,0.034321725091081896
Vinnytska,2013,3,270.5620741435879,0.006405911928580231,228.21644524578377,0.039274465278246386,0.20568997861109323,0.10134304003371898
Volynska,2013,3,247.37278626852455,0.0008723515340606016,198.28900793590455,0.007251770139435959,0.08511836116161706,0.04515347817747563
Zakarpatska,2013,3,281.0806354536357,0.015592076142531988,174.8590089924629,0.08681249029436741,0.3051210736555231,0.1731324183275616
Zaporizka,2013,3,263.19519064346196,0.010911624508092814,235.51522478243612,0.06523362118555406,0.31194636868344316,0.14805683781322027
Zhytomyrska,2013,3,264.13105637196986,0.0012973403478459386,246.35183530458954,0.009472239664943585,0.08431941293152065,0.04069730389529263
Avtonomna_Respublika_Krym,2013,5,305.7960384735999,0.04595906310076294,285.55179448957455,0.17353562954207732,0.3696329286133153,0.2321641850450818
Cherkaska,2013,5,302.06753334973433,0.0753980700597446,284.92200504526556,0.22469245570503762,0.5442587964393908,0.3622142956957143
Chernihivska,2013,5,302.10705260074286,0.06958675294872624,283.0503121275607,0.21375012521854617,0.5244637637010318,0.35707448127287866
Chernivetska,2013,5,298.9981127458516,0.07074330361621399,274.96161695564126,0.21487918970014167,0.5563965610386207,0.3567075451807078
Dnipropetrovska,2013,5,305.1370217298849,0.0517053618835808,285.942290843516,0.19688409520158068,0.5047894204273512,0.3068295892735972
Donetska,2013,5,307.2494949400188,0.051891361210666835,281.9357868355038,0.19402611019142701,0.4923735167404633,0.2834127221761834
Ivano_Frankivska,2013,5,284.04936130341275,0.08225187748354898,274.9481203403148,0.2332853475142728,0.5967181000045008,0.41584179553329703
Kharkivska,2013,5,306.1345846108882,0.06181071729370644,278.23867106499284,0.20916830819539114,0.5300229504605449,0.3079375763539559
Khersonska,2013,5,303.82812447427824,0.04465011083335703,286.1836387343136,0.17176804859548425,0.3965570303004214,0.245249332987862
Khmelnytska,2013,5,299.3424089764571,0.05745499128440885,274.13362433567227,0.190733188799003,0.5318252162492287,0.34511378168135326
Kirovohradska,2013,5,304.44797715841014,0.05787600518990372,280.71814375596034,0.19696456166957838,0.5108892614510929,0.313008596676909
Luhanska,2013,5,307.94466688462524,0.04808502586687887,284.173117841565,0.18166737387903192,0.4766792590322786,0.26670293182213567
Lvivska,2013,5,293.24456483010937,0.0893405936312594,233.05083469486536,0.2429988541345077,0.6100035560564803,0.44591161769881216
Mykolaivska,2013,5,303.7446674386395,0.05198564537119904,275.1912280881971,0.1882368439259328,0.45054455138157484,0.2796974863242712
Odeska,2013,5,301.8458177405857,0.07483594718673105,273.131089548391,0.22976915649048438,0.5168372213987341,0.32938545803396135
Poltavska,2013,5,305.4882332655812,0.061288279291629444,278.4564298895735,0.2004824022049172,0.515196276439694,0.3215693586361365
Rivnenska,2013,5,297.46590452717936,0.06855892096007934,234.88712638043734,0.2146848138168553,0.5555882278990842,0.38527760925996424
Sumska,2013,5,303.4439400709765,0.07798461290749373,256.5234950071372,0.22992277777774256,0.5555209432247825,0.37741327502598243
Ternopilska,2013,5,294.8803005007803,0.05834080868639134,276.3035728006697,0.19310422693068147,0.5392883404460644,0.34822010925755026
Vinnytska,2013,5,301.4681500966679,0.07018380630082587,282.44785643463206,0.21603615933730536,0.5292437497659387,0.3456993322584897
Volynska,2013,5,293.9326088234831,0.07307960847793005,232.876054710065,0.22702496898486862,0.5715504945651843,0.3979253359195736
Zakarpatska,2013,5,276.3333584741532,0.06560203790699437,229.42527347594068,0.21447548537577824,0.5417919080735996,0.3774406059156873
Zaporizka,2013,5,307.35988357361504,0.04839006047811807,284.41984539829554,0.18547421516165288,0.45269166301736313,0.26491746760887463
Zhytomyrska,2013,5,300.7517258035277,0.0693120333257036,278.4394532386036,0.21390445676629577,0.5499573719169653,0.37621339289984534
Avtonomna_Respublika_Krym,2013,9,268.06370013664434,0.013098260227716057,277.75910977999376,0.07571343901522132,0.2875169807098318,0.1409255647934414
Cherkaska,2013,9,223.6980925669007,0.015424983595468893,265.41718633013386,0.089347958456873,0.3339250189722397,0.16506112972016201
Chernihivska,2013,9,264.8925273202329,0.020671002794282148,270.3940129716235,0.11126683241415222,0.38862912908738956,0.20381382449906496
Chernivetska,2013,9,252.02836983966554,0.03243190772655979,222.64246283892803,0.1557286846093228,0.3999935254409918,0.23311981414626007
Dnipropetrovska,2013,9,271.0718364125142,0.00894138947723365,274.94159804018756,0.05972967528166954,0.31373502355281774,0.1292832632045563
Donetska,2013,9,256.7979379733888,0.01086915596867201,271.7589817365084,0.06129475670230475,0.31529718346397556,0.13358685374189747
Ivano_Frankivska,2013,9,234.28355231195135,0.0326282923320642,209.3856034918306,0.1576792628360444,0.42091715469447394,0.245794382437896
Kharkivska,2013,9,249.06648946183398,0.010834092957611797,244.55493050582214,0.06695308943942939,0.32497246553795267,0.13903668710212116
Khersonska,2013,9,286.95641815168597,0.011907695730169213,278.37189676312977,0.07079720620235587,0.27758372411626075,0.13160816711137974
Khmelnytska,2013,9,197.60259379898494,0.026035080318834832,260.19144815389683,0.12618101930380396,0.36215048641793984,0.19630752310649432
Kirovohradska,2013,9,252.45882322945724,0.009462315561636634,258.646822898455,0.06019939849077498,0.3153954373985206,0.13001878201574837
Luhanska,2013,9,262.1289185807481,0.012757653928566147,255.65066048998577,0.07404223032730838,0.35364435793515664,0.15087589875920354
Lvivska,2013,9,216.17288778102332,0.02809360295599594,199.2362639771828,0.13736358584157762,0.37711209720930516,0.20335088448262953
Mykolaivska,2013,9,259.6983613519359,0.010403552173477614,260.70944147629064,0.06469931314553284,0.3071996526661989,0.1357741940769789
Odeska,2013,9,275.87140804851464,0.012813726022431549,269.56986173702364,0.07554124849936103,0.30781959383325525,0.14400136030161376
Poltavska,2013,9,271.0453640783745,0.013933106136447666,276.59311287125297,0.07925320033053511,0.3282663168709747,0.14527539459702965
Rivnenska,2013,9,199.32941719797498,0.02600625048418698,242.50788287320754,0.12823818603854226,0.35985406543630116,0.19887405645269515
Sumska,2013,9,247.81034923253543,0.016996389785893188,275.58021476989495,0.09571829693750605,0.35744321529170436,0.16515476237359195
Ternopilska,2013,9,201.990175937031,0.02705373057811365,215.83453232225298,0.12576921227640894,0.36039275431921125,0.19603747262805013
Vinnytska,2013,9,208.312274408537,0.020607698053949474,236.9372171098163,0.10841954766736782,0.36517112560976117,0.1945612808000749
Volynska,2013,9,207.32149607781133,0.02310065847854437,229.86727696239592,0.12057024379797412,0.3458239618839684,0.18310449816106267
Zakarpatska,2013,9,294.16988175819824,0.024941935109320017,244.335791556285,0.1371954272218629,0.3622628002945564,0.19238937087577318
Zaporizka,2013,9,267.1162204833132,0.008910092026135071,278.6616149951829,0.05359930620980404,0.2625462161549341,0.1086306249128132
Zhytomyrska,2013,9,195.1470795383196,0.0218354131244092,228.3880480318971,0.11250746404423889,0.36630099371911795,0.19638284696765765
Avtonomna_Respublika_Krym,2013,7,310.2630913895411,0.035291739112058365,291.26196070887545,0.14387792397984098,0.3275733907262515,0.20112380170461724
Cherkaska,2013,7,295.6489029768452,0.08621027776764428,287.7283004657995,0.23455318514652182,0.5232018818330514,0.36973329823643913
Chernihivska,2013,7,295.11019076091117,0.08764763937395192,287.3713903272974,0.24092722529959923,0.5486906931311955,0.3818037199636729
