region_name,year,month,LST_Night,LAI,EVI,FPAR,LST_Day,NDVI
Avtonomna_Respublika_Krym,2010,4,277.0208707905971,0.05426798177344324,0.295739289546399,0.1917490376057893,288.390787719287,0.4726905522840848
Cherkaska,2010,4,277.35432240732774,0.022916740007383897,0.2064721130344754,0.10638266082744387,297.21313469219643,0.3765707245978956
Chernihivska,2010,4,276.6930366282932,0.019555831280858794,0.2044087477642198,0.0982422220440103,293.64855008635465,0.36257292908865757
Chernivetska,2010,4,272.58566722569367,0.040966023749509015,0.2748461840267751,0.16464402397722377,296.1003345794439,0.46153153051073054
Dnipropetrovska,2010,4,277.31053099493806,0.021609369941162523,0.20105342201644183,0.1096396158912269,296.9092665043324,0.398972484417595
Donetska,2010,4,277.05072776604976,0.023900778053282723,0.21829231312173492,0.11395420139806103,285.76154335787373,0.4202912052871386
Ivano_Frankivska,2010,4,278.5307159371529,0.041094968092641834,0.30767712739896574,0.16951124075029997,294.2853566211361,0.49174029505349093
Kharkivska,2010,4,274.98407136659335,0.012563177963154063,0.15798007786775492,0.06850035802904665,296.6759040381381,0.3457022113469869
Khersonska,2010,4,277.0245727960458,0.034747873290255235,0.22740750428036333,0.14442850011740097,293.14882736580716,0.3959908560226666
Khmelnytska,2010,4,235.16538550751304,0.028099221848642362,0.23812099031075767,0.12801850296158016,295.19701141247674,0.41218247996801294
Kirovohradska,2010,4,277.0521280863689,0.020799833168391943,0.18157017053649527,0.09756565543764935,299.19941725563683,0.3721663700174717
Luhanska,2010,4,254.9872734701785,0.021469285121531942,0.20508874800847116,0.10251044242792211,296.1909970374233,0.3966347116960527
Lvivska,2010,4,271.9334134790443,0.04275880579997094,0.3164225215005968,0.17634626361971326,280.4235725437182,0.4865112077369621
Mykolaivska,2010,4,277.2066683450844,0.03273724824604171,0.23142775457056494,0.14011740100318482,296.8752811871287,0.4245862200794666
Odeska,2010,4,278.05752581554844,0.050030426048016705,0.2886179604267226,0.18604532194439524,297.68643578656133,0.4881097077888064
Poltavska,2010,4,277.559814214144,0.016551419087749705,0.17296878793460094,0.08304828917765872,296.0691235757894,0.3498074414797978
Rivnenska,2010,4,264.7417528012059,0.028008479748350624,0.25978714674642384,0.13489712677965263,293.9716090797602,0.410199393758999
Sumska,2010,4,276.749619200588,0.02093172875348599,0.19648337269990537,0.1010110247080513,294.8958930821425,0.372173484931761
Ternopilska,2010,4,256.13807051904314,0.02808406425084075,0.23850780386959997,0.12645885385766087,295.7880162163582,0.41402024054329256
Vinnytska,2010,4,276.75457737433516,0.029574990739969127,0.24447038630596143,0.1321357400079066,295.4887141135809,0.40999926813138315
Volynska,2010,4,254.5713514225608,0.032609236882239975,0.27634268551619806,0.15454653635846197,279.03417041859416,0.43129356234654825
