region_name,year,month,EVI,FPAR,LST_Day,NDVI,LAI,LST_Night
Avtonomna_Respublika_Krym,2015,8,0.15665966355839075,0.11105704110408054,310.2731575262111,0.27359052713689613,0.02197597671687949,290.38309969243426
Cherkaska,2015,8,0.25672886548034435,0.20181277900769073,303.78301938332305,0.4102939990089247,0.05737283225090433,287.1190843617079
Chernihivska,2015,8,0.2978268609359799,0.2199890176199349,300.03121303043196,0.4474865183845375,0.06567971597172018,286.10041199075647
Chernivetska,2015,8,0.22168866096496304,0.18309223512413397,294.62213272103713,0.3686607393457049,0.04695009539584687,287.75920498306806
Dnipropetrovska,2015,8,0.205000777921714,0.1518935052032116,305.0472629365343,0.365802402339195,0.03000598033613814,288.11710994542153
Donetska,2015,8,0.17681543315136322,0.13591182013408454,307.94704269649804,0.33472331417189194,0.026227613995506553,289.1392499173659
Ivano_Frankivska,2015,8,0.2437782101598041,0.18903510292353143,293.8255167794629,0.40363170464419,0.04648991870814012,286.891433558442
Kharkivska,2015,8,0.19409875115650987,0.1598841638500687,306.0692946836266,0.35373463928452725,0.03474575901652955,285.6589504283166
Khersonska,2015,8,0.1821764161839863,0.12987313091690886,309.6518832349506,0.30747986726902893,0.027308595869967884,289.896926870834
Khmelnytska,2015,8,0.23327967686658788,0.18460602212283322,296.24772817119396,0.3728249208649,0.04751718796332406,286.97976685768066
Kirovohradska,2015,8,0.22399998686184716,0.1737574430005279,305.78040269146885,0.3861498491098009,0.042132757589723055,287.019659601403
Luhanska,2015,8,0.16449992484039133,0.13990496246143957,307.73856058213823,0.32135412236945804,0.027657295410365514,287.79813481390016
Lvivska,2015,8,0.2644220081151274,0.20005769078234759,298.60421317674206,0.412468438807099,0.05233991002909028,287.2270386146516
Mykolaivska,2015,8,0.1745914251197893,0.12731622645394086,310.39658983313825,0.31647232954146826,0.025773350225225426,288.69543091304405
Odeska,2015,8,0.14471382590109638,0.10142271298206958,312.888044371379,0.2724234471458567,0.019929728520215077,288.44179161332113
Poltavska,2015,8,0.2628234959827631,0.20810280594884817,304.08210548711406,0.4207793376640669,0.059397823899293226,287.19918075490995
Rivnenska,2015,8,0.257564526452128,0.1921819157662146,301.9466493539845,0.3907736459463644,0.047926573793196404,286.93139531109887
Sumska,2015,8,0.2800032156659991,0.2169111421866779,300.91704254689466,0.4456285306885713,0.06386007623512692,285.9456328506134
Ternopilska,2015,8,0.2382844517430644,0.1803239338463967,296.11600267200566,0.3773310259050448,0.045692123890328055,287.23825579469695
Vinnytska,2015,8,0.21326762244091013,0.16875822039795593,297.5197834929945,0.3499904612258735,0.03971772639295005,288.2782380880595
Volynska,2015,8,0.2513297787873726,0.18653060051578876,301.94616661916723,0.3820494818239732,0.04381518869499325,286.71870524759817
Zakarpatska,2015,8,0.20944865406704405,0.15628604155131973,302.34330080531674,0.3502342397736754,0.033286016264534965,290.7632206214045
Zaporizka,2015,8,0.17160912880317075,0.12734711184533992,303.9673261976904,0.308680427308312,0.024221907395905243,290.11624199619285
Zhytomyrska,2015,8,0.25314831060056964,0.19330337755158392,303.1630492879373,0.40517431902352485,0.049436454993906476,286.2502948770444
Avtonomna_Respublika_Krym,2015,10,0.09943733906483122,0.059927833173492484,266.6473840253853,0.23032737980661394,0.007597101891537499,271.10457071370075
Cherkaska,2015,10,0.11595082715814622,0.08312017882648061,279.69659360485537,0.266480426558566,0.011239888817230254,260.206873323244
Chernihivska,2015,10,0.13013936106012897,0.09598468930043734,257.2178617085404,0.2797974524979095,0.012765311884468895,259.83270595263053
Chernivetska,2015,10,0.14657798476814604,0.09801685029269686,275.0140880946219,0.33121269305503226,0.013850848745451156,219.9891425110425
Dnipropetrovska,2015,10,0.10186943546439255,0.058730262069976766,285.28022343759835,0.22348344972520232,0.006582618535033127,270.34495784850395
Donetska,2015,10,0.1021338634979251,0.06309991451029068,256.88593068192444,0.23464240836186626,0.007550596915495178,270.96583994458035
Ivano_Frankivska,2015,10,0.1910584015163621,0.13330260580421507,259.1748265962047,0.3911125301624703,0.02132824594044332,202.29676592327294
Kharkivska,2015,10,0.09739415472736158,0.06445382584592588,285.6411774276141,0.231210235934074,0.007960978119290928,265.15304060272933
Khersonska,2015,10,0.1066875029793333,0.06676089783137071,289.22531919085253,0.2297756022746124,0.008373670002252143,263.44853485531877
Khmelnytska,2015,10,0.13103835266610914,0.09036579897900292,271.77729143719495,0.3047877733156074,0.012569480686141117,251.95422390605808
Kirovohradska,2015,10,0.09811292722137638,0.06261800126922266,285.94449349187397,0.23483646345354509,0.007919197050917459,258.6370875518441
Luhanska,2015,10,0.10843636629703611,0.06958623968958463,280.43292813802645,0.24038203486412016,0.008639369209914554,269.8468867027809
Lvivska,2015,10,0.1778673445044868,0.1237884772241252,254.76923877052857,0.3645833561077508,0.018566899043091716,195.74787441326626
Mykolaivska,2015,10,0.09003973344467783,0.051419011385282716,290.16265350890075,0.21375695981465812,0.006349175794853106,245.72402827842927
Odeska,2015,10,0.10002396227993535,0.050636864057872474,287.684223320342,0.25312490646701763,0.006611051140079138,265.7021223359235
Poltavska,2015,10,0.11262831009675492,0.07956973916465268,278.1295508306698,0.24394292879404783,0.010176873260491319,247.14608494078914
Rivnenska,2015,10,0.15689342916415563,0.10718532608566048,259.4711262445137,0.3159635794380994,0.015365842263072416,238.068660105544
Sumska,2015,10,0.13709896281844305,0.10164541412561583,282.312242818981,0.2988673965593317,0.013880254227447483,251.16354047680863
Ternopilska,2015,10,0.12978488460094165,0.08676824529619444,277.27496265430176,0.31413542049504695,0.011997826281991135,236.34837873709236
Vinnytska,2015,10,0.12110656168005583,0.08579580528558396,262.2405438569051,0.280685654374852,0.011613218080129686,270.072028869151
Volynska,2015,10,0.1661759507936966,0.11803378593833247,275.7926459876602,0.3288718904560254,0.016573584417317988,228.89852356153773
Zakarpatska,2015,10,0.1727404176359844,0.09603822123655543,212.36142566886565,0.3570610014466067,0.013570776314061764,223.12499627766925
Zaporizka,2015,10,0.09210802120364181,0.05475747231365365,276.2166382956312,0.2092650140034592,0.006457937089961581,271.7826718505781
Zhytomyrska,2015,10,0.12885080139198035,0.08967286688223529,252.96489553115495,0.2878480348593472,0.012101791062913229,267.39746843227465
Avtonomna_Respublika_Krym,2015,3,0.18909152888637218,0.10175799625249525,270.659505248682,0.34264925023726295,0.018690528799914192,271.61822751482833
Cherkaska,2015,3,0.12378690227371388,0.05210057074984945,279.897191616735,0.26768280092905283,0.008471824233598171,271.249914427997
Chernihivska,2015,3,0.10960893265263097,0.050815605229907794,277.4219053046927,0.24600105486130566,0.007933665468149057,270.7058110894371
Chernivetska,2015,3,0.1343279780038818,0.07787419736321105,286.1272127893912,0.28810733842676306,0.012869402787920063,259.7361239310761
Dnipropetrovska,2015,3,0.12241814496650572,0.05638240443738626,283.9147580208149,0.27555027760930223,0.008419064926936635,262.4397257937111
Donetska,2015,3,0.10159827478889334,0.046253119248038835,282.93017513506055,0.23043019443432014,0.006870466641616456,260.1801519867549
Ivano_Frankivska,2015,3,0.15758711465344183,0.0856953488541835,279.7624730422134,0.32505311053044406,0.014461615389758783,271.563743325345
Kharkivska,2015,3,0.09979046789909596,0.05141528502025671,284.9893466942725,0.24909559515735552,0.008086458820466262,269.2733736192077
Khersonska,2015,3,0.16524723142775502,0.08906020199415039,269.18003824250223,0.316018027105736,0.015620680670202123,269.52936008751897
Khmelnytska,2015,3,0.12338388415690076,0.062486066073128656,268.9025491794819,0.27399492251248686,0.010304176190007865,271.1547643539537
Kirovohradska,2015,3,0.09529336969909494,0.04701634014322932,267.3994902089175,0.2333783158159723,0.008216881011244286,268.08253351022773
Luhanska,2015,3,0.08936573195649472,0.04349781030803736,284.4355072080959,0.2113222138401629,0.00696536814979957,255.2698929531888
