region_name,year,month,NDVI,LST_Night,FPAR,LAI,LST_Day,EVI
Avtonomna_Respublika_Krym,2014,6,0.33974802241363833,286.2455191800508,0.12808710130335815,0.03012860937837701,300.9103326837275,0.2031350595378691
Cherkaska,2014,6,0.5971464993050118,285.8854666687903,0.26408475043887003,0.10396919307514485,297.72270913426286,0.4520974135259003
Chernihivska,2014,6,0.5937281460254249,284.5296248087285,0.25040481340139703,0.09415946979431614,294.8620328877066,0.4527052552386983
Chernivetska,2014,6,0.5815658430496371,286.45749508507737,0.25950755004270226,0.09407687683455951,295.85827429078125,0.4239898885135783
Dnipropetrovska,2014,6,0.5046728889851461,285.99188935686584,0.20488083324852402,0.052853836362809374,300.90038355850504,0.3380757790491177
Donetska,2014,6,0.5108004047991928,286.0305907396817,0.20692886608863534,0.05558827827930439,300.4712271645601,0.3460849123068406
Ivano_Frankivska,2014,6,0.5817845043213594,285.23899879514886,0.26024939356710275,0.09478371623377434,297.8844967767445,0.4164563693191471
Kharkivska,2014,6,0.5873278090981443,284.93265800540564,0.23741569346490787,0.077145238802961,287.30282846608384,0.4216639255045906
Khersonska,2014,6,0.36969645051374295,286.4051358042407,0.153254979538182,0.03833317362283797,303.65489870355657,0.22714397854836715
Khmelnytska,2014,6,0.5912562620671997,284.7568033895183,0.2561536826122477,0.09465234833097354,298.2003643126247,0.44303686493948075
Kirovohradska,2014,6,0.5594839279334473,286.26332689042886,0.23704684755345712,0.07879669608900812,299.4376428588764,0.3950913324020368
Luhanska,2014,6,0.51607412496915,282.41456377831315,0.20886369698294563,0.06030399122288475,294.3875810181329,0.32972842667162844
Lvivska,2014,6,0.5731899643857091,284.3320922301201,0.26036269429241354,0.09621787956047714,293.0843468480064,0.42075324734315306
Mykolaivska,2014,6,0.4275833992959898,287.1808454490876,0.18185591837373588,0.04901160599339921,304.85578508801245,0.2700946910484049
Odeska,2014,6,0.4239442708395222,287.6465739312799,0.17927144540907589,0.048486862350087485,304.2018587553249,0.2723923973192342
Poltavska,2014,6,0.6196234546221432,285.7516326231629,0.2638494386607392,0.10264153904781362,296.16144369277913,0.46434199007797167
Rivnenska,2014,6,0.5624123040376544,284.75435439686106,0.2485202912182539,0.08604665491611266,295.9137295915059,0.4041177523065581
Sumska,2014,6,0.5987596821775338,284.8512966330065,0.2555420596509738,0.09899365614153921,293.2107990740214,0.46107468997981543
Ternopilska,2014,6,0.5914516465660868,284.57703367347455,0.2544924605002135,0.09344412936662477,297.21774395073857,0.43827997580343536
Vinnytska,2014,6,0.5843754221586215,285.0658534006596,0.2538501744604821,0.09670228695806032,296.6122446618904,0.44707357160989986
Volynska,2014,6,0.5471614994400041,284.42001359019906,0.251664302737309,0.08628625237368374,295.0565887477722,0.3854925634090566
Zakarpatska,2014,6,0.41086138653230003,285.4786278478719,0.18729147008967267,0.04827764631668725,302.42309034996106,0.27960634929507217
Zaporizka,2014,6,0.43733309233820555,287.30790779430174,0.17586063006401334,0.04321415723794221,301.1558470271702,0.2841899583685816
Zhytomyrska,2014,6,0.5736117152813768,284.7918921885718,0.25200392327168625,0.0902169676562655,295.60029240495226,0.4219851277220981
Avtonomna_Respublika_Krym,2014,10,0.2813962054226177,272.05384992882057,0.0861447604364817,0.01195790315534598,261.5280375307497,0.1363558678333833
Cherkaska,2014,10,0.28258612041196124,273.7496469657938,0.09073215604638861,0.01270992043252985,281.64586117023174,0.12179608062285376
Chernihivska,2014,10,0.2575300022669635,263.4124895626237,0.09602675285290627,0.012431012026875462,234.05515585051447,0.13237708186400832
Chernivetska,2014,10,0.33191878937568875,276.38354723582347,0.11766535849101675,0.018767809214760567,286.7315932527435,0.1646106701819617
Dnipropetrovska,2014,10,0.2877953775238922,251.75354906313794,0.07040265147919449,0.008375206840730893,287.7063328510957,0.11717263334063652
Donetska,2014,10,0.27253398231446957,250.30989409796783,0.06872969410771776,0.008587887813599064,265.7003532704634,0.11733650176810374
Ivano_Frankivska,2014,10,0.383538974486279,276.5988682972804,0.14527762004457975,0.024145456936519816,279.1944050637833,0.2008365506724588
Kharkivska,2014,10,0.27773811219820604,218.15749173277771,0.07092701472960246,0.009214270810684811,274.14841164038205,0.11130242693324106
Khersonska,2014,10,0.29376556089150263,245.23789772587406,0.09005797336840071,0.011876374774134944,284.8941263767849,0.13620177391670438
Khmelnytska,2014,10,0.31063354754919165,275.3755443841635,0.10859933448589687,0.01582409961004856,283.7639479818262,0.15414033089433263
Kirovohradska,2014,10,0.25135903704434026,272.57644018123557,0.06508369422230866,0.008665649825121803,288.97522572327244,0.09781414092872906
Luhanska,2014,10,0.24682597795126437,217.9798201883907,0.06625941135692565,0.00846924031607408,275.59765552915036,0.1050530161061073
Lvivska,2014,10,0.3976723973461975,274.9285491880765,0.15955352693298921,0.026649250771791696,260.53053931123844,0.21386243002889996
Mykolaivska,2014,10,0.2469590308629916,271.3758909035746,0.06092360345027592,0.008042893809276894,286.037097916034,0.09769133914271452
Odeska,2014,10,0.2475991511960808,275.26712149740314,0.062082435616193234,0.00827651814178534,290.09506686816815,0.0985550205889141
Poltavska,2014,10,0.26798957841224963,261.48900396597566,0.07540437207591352,0.010296040660589137,260.40539822840356,0.11331154338215543
Rivnenska,2014,10,0.33107342229948544,277.0794722047412,0.13601994963310857,0.020518429350622622,249.06169761809866,0.18082558215546543
Sumska,2014,10,0.268273823471987,256.63965352856565,0.08168239513128693,0.010775475463836557,261.76706269109917,0.12501611294491347
