region_name,year,month,LST_Day,NDVI,FPAR,EVI,LAI,LST_Night
Avtonomna_Respublika_Krym,2012,9,306.51159345694424,0.21934694527121879,0.07517101636705353,0.11470228107588652,0.012741524475342533,286.21643702913144
Cherkaska,2012,9,297.15977267356493,0.3709550260265945,0.14171879390336944,0.19145406742083018,0.027539904911601035,282.87183171197455
Chernihivska,2012,9,291.68343154923645,0.4430363720228993,0.18180555700263948,0.24485707957042105,0.03758298448562425,280.58958424446547
Chernivetska,2012,9,298.58161833661467,0.3796993292487942,0.14700054448684002,0.20042053259044748,0.028400444546762674,284.7654299030403
Dnipropetrovska,2012,9,299.30173116533905,0.4060298636839695,0.1265449124853832,0.2019006841665161,0.020987542455986687,283.83825369704266
Donetska,2012,9,300.7305191609541,0.3481028818212011,0.10037768247888278,0.15776131103595759,0.016395373630489003,284.1213408132685
Ivano_Frankivska,2012,9,296.6218411128143,0.466208249071295,0.19190543239272587,0.2623646020372703,0.04265760027575735,283.3770743441668
Kharkivska,2012,9,297.60799827168177,0.3978540277570727,0.13009404757619625,0.18705767784809027,0.022311760551409113,282.42439638432097
Khersonska,2012,9,303.8269779900154,0.2761856186865328,0.09320835685613682,0.1429580741780786,0.01578263753759324,284.9855243825218
Khmelnytska,2012,9,294.68738896742144,0.4417935605346146,0.17225960327675918,0.2395649826108588,0.0374936404034596,282.3288215244589
Kirovohradska,2012,9,299.2650753761608,0.3513761707121621,0.10521755846129406,0.1615326961221622,0.0176000697623843,283.6007313194661
Luhanska,2012,9,301.4372983666127,0.2768223398698518,0.08491821722023345,0.1221573532491586,0.013136511824480637,283.2771150941403
Lvivska,2012,9,294.68446549795806,0.48538248808439494,0.2044627532005064,0.28386651695835435,0.045419925299304185,278.99138421889035
Mykolaivska,2012,9,303.2672973418648,0.2914668715626256,0.07928681366984204,0.12646884282036056,0.012954988932102349,285.5893427903316
Odeska,2012,9,304.6985195873513,0.2690023660274703,0.08091697425220488,0.12462285354635692,0.013673846387259726,286.2228721323804
Poltavska,2012,9,297.4387009189945,0.3859722689934302,0.1416886486760008,0.1918961955933004,0.027403605477129753,282.5270635849825
Rivnenska,2012,9,291.4010978496171,0.4747111791419721,0.202937880129652,0.2740493744182104,0.04585963372330467,282.0155153872639
Sumska,2012,9,295.3483351685807,0.4264402278784337,0.166697651998875,0.22029312535735662,0.03160161634026561,280.1579703526271
Ternopilska,2012,9,295.47274216367094,0.4415225299718811,0.17495881449856723,0.2362648226027982,0.038378770978217756,282.6118957949297
Vinnytska,2012,9,298.1050828055497,0.3439520987014801,0.13742598875211381,0.18429268447325606,0.02590817575363395,283.38755299643094
Volynska,2012,9,292.9600185943724,0.45769324783968574,0.19946984106925686,0.26451760676544983,0.041144234189876484,281.2115756296518
Zakarpatska,2012,9,296.9037980012419,0.36480779105871963,0.13782288375555696,0.19938154790868073,0.02444303300936361,284.3296616024387
Zaporizka,2012,9,301.7401151308878,0.320840609021956,0.09315843063680851,0.15671953988981507,0.014775602730112393,285.01686265552803
Zhytomyrska,2012,9,291.92434089028933,0.4602197308162453,0.19006418035708256,0.2596832184292534,0.04125906440120014,281.64423610625477
Avtonomna_Respublika_Krym,2012,5,302.6253501729043,0.4375216306902581,0.18322589098952488,0.26186795601973334,0.04982370965801493,255.16131657348265
Cherkaska,2012,5,303.53587928831354,0.5363113810721186,0.2234108230984718,0.35192160330853167,0.07600414198236662,283.47614740503155
Chernihivska,2012,5,298.69883191665974,0.5392285112836811,0.2242571521840458,0.36141161868954136,0.07820983219791605,285.06775134490573
Chernivetska,2012,5,301.553961120857,0.5699694175332696,0.23799552829119122,0.3813739960319024,0.0859719233614614,278.8077236431238
Dnipropetrovska,2012,5,267.35637224593296,0.4436622100179443,0.13580146751720854,0.24674958880505007,0.03107028210907852,266.80787613705894
Donetska,2012,5,270.3963281174188,0.500442234972869,0.1647698664499335,0.28406787316533516,0.04134051746691124,285.9178072435313
Ivano_Frankivska,2012,5,286.4517132773401,0.607869494843788,0.24787390996732478,0.4441405588109989,0.09069165803933563,281.1600125861988
Kharkivska,2012,5,292.559269459718,0.5122945965713772,0.17153232947524608,0.28976944464245197,0.046215337851394984,285.3492546896596
Khersonska,2012,5,262.7256534590082,0.4123574170382124,0.1453212559663674,0.24137919947459546,0.0363167318559206,268.7942908002829
Khmelnytska,2012,5,297.8971767759031,0.5359975664084284,0.2181283321116327,0.36839048573858646,0.07265935233361318,284.34764155116244
Kirovohradska,2012,5,300.2470980620264,0.4710245236144125,0.16805510166463047,0.2657590607762541,0.045724389519905546,283.47138567543783
Luhanska,2012,5,284.35431853499824,0.5000648628596537,0.18413660669401943,0.27839378914285845,0.050538492159413126,286.5418026615294
Lvivska,2012,5,260.3556179165638,0.6199756201261365,0.247760178846382,0.46743890875300464,0.09468212985436956,277.74570247656027
Mykolaivska,2012,5,305.2174825784758,0.41869342694858663,0.1452388951187844,0.22972122522987698,0.036155321018274775,281.12487213626645
Odeska,2012,5,299.9508057479482,0.4791564616670384,0.19114141824982694,0.28508794640290114,0.0528231238731513,248.28819437108712
Poltavska,2012,5,302.0329060079839,0.5110569265525322,0.1895525851489066,0.30737361285901776,0.05612884517995255,275.3425303182932
Rivnenska,2012,5,288.0417107581545,0.5683592542113785,0.23018952628369865,0.41801484352317875,0.07864279676180912,283.51479374317677
Sumska,2012,5,300.88144565164026,0.5365627987256396,0.22005987630287852,0.34801322399067813,0.07204389797093222,284.2024882845736
Ternopilska,2012,5,284.4806149304693,0.576381282447351,0.22917415360204618,0.4085091817153179,0.0792096651304131,284.4881586408368
