region_name,year,month,LST_Night,LST_Day,EVI,NDVI,LAI,FPAR
Avtonomna_Respublika_Krym,2022,4,272.2419335996189,289.99187958729397,0.3740760411368179,0.5514980658545948,0.0614887564639108,0.2088722341262072
Cherkaska,2022,4,273.523801405084,292.9471324085781,0.36386889403884737,0.5648006603824376,0.04663789060312427,0.16925633541530014
Chernihivska,2022,4,218.31426693650698,271.1490411498354,0.34646804018965466,0.5423087900063193,0.04457482934904156,0.1616268021425478
Chernivetska,2022,4,264.1539665282655,299.07569362497105,0.2921761453482848,0.4857954616061942,0.038295219312585796,0.1632859861883577
Dnipropetrovska,2022,4,277.83500920016724,264.8168690904961,0.339889080234194,0.5554453874174129,0.03574247540513488,0.14901883628926418
Donetska,2022,4,278.26705942637085,288.1713551324523,0.2966755890304252,0.5068026650197963,0.03205591195513019,0.14201181780001884
Ivano_Frankivska,2022,4,255.3404735790082,294.6554689179305,0.3480158505755124,0.529106003309208,0.05117911628535065,0.18944288133903112
Kharkivska,2022,4,277.0560118593688,290.82649420752324,0.3100465182423478,0.5345596231233593,0.03568091124113159,0.1497744271362714
Khersonska,2022,4,277.0601837368997,280.9628498913116,0.36453968963535793,0.5505905699167704,0.05887519324989965,0.19716140084509895
Khmelnytska,2022,4,273.09473139413814,290.0569946218097,0.3211261401804881,0.5176591736953209,0.04374878188482194,0.1715466936332058
Kirovohradska,2022,4,267.4273159435575,293.131837280301,0.3285966587250877,0.5545608585006733,0.042664710249391426,0.1623368876515863
Luhanska,2022,4,278.1247863723406,292.14641006947915,0.28648360236880127,0.5075562235212645,0.03909433207125656,0.15942201444129503
Lvivska,2022,4,274.0152139800751,259.6155875771228,0.36345853451141635,0.5356414592254044,0.0465032341961387,0.17582323951228096
Mykolaivska,2022,4,252.336843787022,295.36461233564177,0.3287214143624784,0.5472091737865632,0.05212223561539481,0.19284316565793894
Odeska,2022,4,232.43366349293075,298.7448531512811,0.3376513765726359,0.5297939040224474,0.05565936963615485,0.1989156874823443
Poltavska,2022,4,271.220781538112,279.71931959624396,0.3378679387512072,0.5665099420623787,0.04092413009901541,0.1534582890922667
Rivnenska,2022,4,274.99247492099914,231.2597049656206,0.33987454662393235,0.5030118112108747,0.04050408502512465,0.16058625893647802
Sumska,2022,4,247.5274552656037,257.2990427186615,0.31894016039025225,0.5269622277652184,0.03579156717245189,0.1405818168143315
Ternopilska,2022,4,268.8511464416986,288.3337323856518,0.3383115558645494,0.5395496894552259,0.046005356167806384,0.17498913600798208
Vinnytska,2022,4,272.3529216782151,295.6921002964537,0.32324730515314043,0.5126589026853499,0.038148712575607716,0.15438771023434494
Volynska,2022,4,268.36177940200884,233.25224972803974,0.36285150885166134,0.5202208700700117,0.04409982968961034,0.1727591054521684
