region_name,year,month,LAI,LST_Night,LST_Day,EVI,NDVI,FPAR
Avtonomna_Respublika_Krym,2020,3,0.025194956434262672,273.1868733234795,291.202238931042,0.20655263211597186,0.35583294886711836,0.13061291510298417
Cherkaska,2020,3,0.011594719002836477,267.88067660552315,290.2572054218613,0.11917936676631462,0.2689615017160583,0.06555700704316238
Chernihivska,2020,3,0.0187976249812855,260.15506919442623,286.57845617179083,0.1662691737549117,0.32096446974547177,0.10528048803514384
Chernivetska,2020,3,0.028242550941594828,272.36764629847556,275.3040078154285,0.21946366248524946,0.40403003292112716,0.13047822135927917
Dnipropetrovska,2020,3,0.02448222982239769,272.24027081583324,292.1070880778239,0.21862847622864934,0.43609288234981214,0.13420028870910014
Donetska,2020,3,0.015697161282808576,272.1249556511286,293.369397371491,0.15436130241365595,0.3301525671241972,0.08980117142182698
Ivano_Frankivska,2020,3,0.032331758387498466,271.9886062491333,284.7817888086607,0.2427138552326119,0.4250711295832242,0.14731876648033976
Kharkivska,2020,3,0.01498356980640048,270.8491656318728,291.4802649730535,0.15413589275105152,0.3563095561234076,0.09037311686622854
Khersonska,2020,3,0.042810446168167066,272.5483104230668,291.3354516251165,0.259789406615071,0.44114198845151387,0.1822552180537494
Khmelnytska,2020,3,0.016960795929516336,270.65912216436385,288.41519849013673,0.16359388039841716,0.3272921075640134,0.09449364004075803
Kirovohradska,2020,3,0.018549903709422826,271.25298627502093,292.28454035951955,0.15857645608321363,0.34351820100644936,0.10157199099118114
Luhanska,2020,3,0.01474801953936465,271.23634203432215,292.19463005223275,0.14194113459196095,0.3142450051493798,0.08397124141051159
Lvivska,2020,3,0.03619626803756155,271.2949951330633,277.5338089389366,0.2665969250515835,0.4300850692047558,0.1662493211127066
Mykolaivska,2020,3,0.03424328018550102,272.30007272106815,293.2452918988209,0.23736094320853326,0.43467283619267405,0.1612201751255177
Odeska,2020,3,0.038475729980752986,273.4944369639293,294.65345341389167,0.2291956375862441,0.4195682630167013,0.16770476601448414
Poltavska,2020,3,0.011775349023802619,269.15003883715065,290.6178714636769,0.11674741229918513,0.2853107809515166,0.06862194682154694
Rivnenska,2020,3,0.027238864677219355,270.90259420426287,280.97376740815,0.22504026269287064,0.3682669145758025,0.1409855653003804
Sumska,2020,3,0.015219459978373472,266.3116492441435,287.71637698644264,0.14182610079645083,0.30879881801529235,0.08782319375018864
Ternopilska,2020,3,0.017402155337737774,271.1368406800009,274.9793867534696,0.17325330343749717,0.3511287167499418,0.0972957922315494
Vinnytska,2020,3,0.019151112495113823,270.690027327246,285.1568968935738,0.16601580980293368,0.32513891563270353,0.09933158462202478
Volynska,2020,3,0.033775021727520976,270.6229661118466,281.38472452453163,0.2633602528845662,0.41689348095663187,0.16841520978459884
Zakarpatska,2020,3,0.026410637194299882,272.17796483727955,290.13289581655283,0.21765604194982222,0.3476429231816656,0.14695614485448266
Zaporizka,2020,3,0.02492870010788585,272.1386594514985,289.53871459558223,0.21003062936569702,0.3937041336791663,0.13064465839381367
Zhytomyrska,2020,3,0.019537049358912758,267.20331199998395,288.12090522848536,0.1778334322195024,0.32339079046998137,0.10976869348220057
Avtonomna_Respublika_Krym,2020,4,0.04469158453969274,276.6553487515901,301.0249526215145,0.2554169965692169,0.4149034983200441,0.17610074944927992
Cherkaska,2020,4,0.02368373615554358,250.64604903788046,298.89194453582786,0.18995688760542515,0.3538713416277618,0.10329887248232135
Chernihivska,2020,4,0.029801031759185775,265.79202489802884,288.34567884440673,0.2198625938231099,0.3716239256936229,0.12391256180121721
Chernivetska,2020,4,0.05928514543997228,264.11275929564044,297.40455168682035,0.3201665504371177,0.493005121875822,0.20166349724618962
