region_name,year,month,NDVI,EVI,LAI,LST_Day,FPAR,LST_Night
Avtonomna_Respublika_Krym,2021,10,0.24795311105872062,0.10953025885711057,0.009082171930559681,292.40066955739997,0.07088766752840231,277.42282735988687
Cherkaska,2021,10,0.29939980529341004,0.1323531705456912,0.011624315035715075,278.46421843701864,0.08720455113972019,273.67838984965675
Chernihivska,2021,10,0.33186811056439514,0.16235323804078922,0.015799833247486964,284.7096613857111,0.10767332547207681,272.97545806439126
Chernivetska,2021,10,0.2676534724590995,0.12581749615704232,0.013273111919138323,288.9009559472033,0.10253060243278148,273.9605737888601
Dnipropetrovska,2021,10,0.29410384335504375,0.12819589428589562,0.009231487326607302,280.97377839230995,0.07631599845614555,266.7191547793024
Donetska,2021,10,0.2879065939632645,0.12295236052848715,0.00992447178689534,287.85639340344454,0.07638054041939846,253.31074828449354
Ivano_Frankivska,2021,10,0.31580437960877583,0.15804013324430524,0.017486366136180792,286.3353094543212,0.12420731943276682,273.4972863264732
Kharkivska,2021,10,0.2975064493224627,0.12601094509556948,0.009203045874644223,286.8826075339175,0.07141576589834056,267.9414695891773
Khersonska,2021,10,0.2634085058340834,0.11698528692738763,0.009100709675104568,287.00878648199597,0.07027611889178133,273.5619685626844
Khmelnytska,2021,10,0.30527633675858235,0.14405893178383133,0.01429106348272721,286.32348906078255,0.10571539002427016,272.0838089741015
Kirovohradska,2021,10,0.33092768592726163,0.14047880385991018,0.010687187042039435,271.7662401394858,0.0812811684026463,273.82289170821787
Luhanska,2021,10,0.3225676445226161,0.13850582896976765,0.011188938685966312,287.4807785248793,0.08056318128574334,231.13306698005462
Lvivska,2021,10,0.3128537029148524,0.16048334802070258,0.018687453856731106,275.5299049169494,0.12989287429874724,268.4576904389175
Mykolaivska,2021,10,0.29912482381543964,0.12639106796775063,0.0095768904658389,277.3561126791734,0.07339434615672073,275.51576237663073
Odeska,2021,10,0.25260689471574155,0.1110516165226642,0.00824669030319493,285.1836825154643,0.06479389089354386,275.6824806013769
Poltavska,2021,10,0.33858632120433757,0.14511643734268795,0.010514145938036476,285.25260859888255,0.07942309641625284,273.13479645699226
Rivnenska,2021,10,0.30589214813940996,0.15758769493501534,0.01782038296425796,283.3571435050542,0.12055068249504078,269.6963545721136
Sumska,2021,10,0.3443466534364954,0.1507155038883944,0.012825784582010577,266.79359744337256,0.09176321508454433,273.12470346293
Ternopilska,2021,10,0.32332256462838505,0.15369998267477375,0.016170623556588274,286.41846147280506,0.11478809395678388,270.98440992602843
Vinnytska,2021,10,0.2673367667199884,0.13148131215523234,0.012939943396112649,287.67603650400986,0.09921026895069168,273.2141641921056
Volynska,2021,10,0.30365249502813857,0.1630837520772363,0.016450076662783218,286.0172253234676,0.12003438124582544,273.8724146767543
Zakarpatska,2021,10,0.263415369361752,0.13238930891325265,0.014664068631303291,278.96755009050696,0.11152828043055694,273.4656653808139
Zaporizka,2021,10,0.2555140222040427,0.11005472816935845,0.008357852944343531,289.0153699188481,0.06648643589764393,266.1401686128495
Zhytomyrska,2021,10,0.3003729126170256,0.15490126467729334,0.015147274328036019,286.1193320441139,0.11031548730081706,272.38528383354924
Avtonomna_Respublika_Krym,2021,6,0.4049647424594625,0.2599138165174213,0.04351859018466459,303.71240810102125,0.16393549481179528,289.06839793985233
Cherkaska,2021,6,0.6760901667082184,0.5407802942268272,0.1226509038040422,298.74621530400395,0.2801834600929049,282.8253823540727
Chernihivska,2021,6,0.6324237553654924,0.509209076835037,0.11529559642543519,298.4244526172985,0.2709235850373711,285.36588287601546
Chernivetska,2021,6,0.6361755059132786,0.5030200834109058,0.12324533821990404,299.2168379253298,0.28612153775842897,280.55406192220335
Dnipropetrovska,2021,6,0.6016750494770238,0.4747390579376075,0.06561677827845788,298.6119369104062,0.23168757183860608,286.6347180653625
Donetska,2021,6,0.5826157631437816,0.42262350283473726,0.07279638205570824,299.2338009282115,0.237075039165722,281.07863364861174
Ivano_Frankivska,2021,6,0.6447771014170884,0.5102068840242199,0.12393670774310457,297.50599712856496,0.2845251677797726,284.5431700354832
Kharkivska,2021,6,0.6258314193617766,0.47687361568753894,0.08721707044115384,293.6942153286416,0.25345700666466225,278.79309912943813
Khersonska,2021,6,0.4612195165609792,0.3258832281235031,0.05812592964929898,301.51155149251514,0.19961395221619244,287.1932382413868
Khmelnytska,2021,6,0.6492474962201918,0.5202698052783418,0.12024299669580833,298.6237725989379,0.2796062767650164,289.08648098836636
Kirovohradska,2021,6,0.6356358157534034,0.49037574945381657,0.08626435133049251,298.28234074608133,0.24721749992803363,281.8339888428618
Luhanska,2021,6,0.5828208371720363,0.3993406570226919,0.08027205892360945,298.08952643212245,0.242438648078868,277.92565888144884
Lvivska,2021,6,0.6211459437911829,0.502025107493064,0.11584686029925603,298.9709770685994,0.27568827116681843,288.5571377665328
Mykolaivska,2021,6,0.5562588506967225,0.40366985576330905,0.07447792016598277,301.66456313709756,0.23300591548177677,275.56743397622705
Odeska,2021,6,0.5675410810040684,0.4176495000737686,0.08609641296850723,301.05249491859814,0.24570285624905125,284.3657618106596
Poltavska,2021,6,0.6457070209488801,0.5125764122419821,0.10075884974149871,294.9084679437769,0.2616451167175267,284.8091641698101
Rivnenska,2021,6,0.6059803854933148,0.4844015744938857,0.1043795389199776,300.6212106533282,0.2627277361591358,288.96644540022146
Sumska,2021,6,0.6497789855554884,0.5069650407137508,0.11658961471866569,294.97990370947514,0.273502869832239,283.63241522271284
Ternopilska,2021,6,0.6479984172602805,0.5213710425347082,0.12317308444711593,297.72916074089017,0.2810563185974515,288.4682385410833
Vinnytska,2021,6,0.6492240082463698,0.5304352153309327,0.11476389114986099,296.8057918692458,0.27160767285877924,285.0284278972029
Volynska,2021,6,0.5903672108998704,0.4770264620108697,0.11630258961446996,299.7295836035155,0.2763954040331091,288.7023128654573
Zakarpatska,2021,6,0.4673320042771895,0.3315034184568389,0.059692548320580435,306.7308799754423,0.20680082738540695,290.41572878487875
Zaporizka,2021,6,0.5400533987047523,0.4096932998322516,0.0642667007697464,299.7753673265935,0.2209959191698851,285.53789438809997
Zhytomyrska,2021,6,0.6051878073043998,0.4853245299447801,0.10150179328643301,298.54794112156736,0.25895988869678505,284.052274137902
Avtonomna_Respublika_Krym,2021,3,0.35542779357586946,0.19677815630750486,0.021445443873814734,283.3835381396905,0.11619201743238805,266.415634455909
Cherkaska,2021,3,0.24324022849578855,0.10089052711571861,0.008013189591407885,279.1463283083643,0.047063444823556115,265.4735065325391
Chernihivska,2021,3,0.25076341209037434,0.11818039916188228,0.009402988562059319,265.2139145359214,0.05603175956706536,265.8278132482158
Chernivetska,2021,3,0.30053270544522176,0.1492729857001859,0.013535579325279682,286.1200775417375,0.07465153673344883,270.8973018213164
Dnipropetrovska,2021,3,0.265378121074187,0.11118862620428376,0.007963718870940032,267.95706953980846,0.0528413068630658,270.50377833095706
Donetska,2021,3,0.18726447293511891,0.07098244316809121,0.005538310409156495,263.3733720122563,0.03619999472346785,260.6836323228524
Ivano_Frankivska,2021,3,0.3392088222832438,0.1750083724837689,0.018234468321435958,283.9296883244378,0.0975473652963737,266.60615962583535
Kharkivska,2021,3,0.20532272145639868,0.06855606751035291,0.0072689582085377295,266.63752222257176,0.04217645789027494,251.34180325014864
Khersonska,2021,3,0.3572416406605782,0.1965464230506531,0.0194359274422268,283.22142179512383,0.10898721427471657,270.2096849626555
Khmelnytska,2021,3,0.26762371424582454,0.12080559432244133,0.01051106685213774,277.41285268215654,0.057414596756351986,261.31422549310366
Kirovohradska,2021,3,0.2525934755237438,0.09651570980700039,0.007796076787501181,282.4410036611457,0.04898994170220155,270.90866885574536
Luhanska,2021,3,0.1723070722830443,0.0656313259182961,0.006570541003945089,256.5201088846562,0.036516884822536594,268.4336637802644
Lvivska,2021,3,0.3268480480074387,0.18041004498256707,0.017877496276599462,262.7559924896204,0.10146809458165475,263.5707273369203
Mykolaivska,2021,3,0.32645763618714285,0.15610515132663227,0.015666492090032718,285.87806065864004,0.09058662355444431,270.5911699799197
Odeska,2021,3,0.34213028472356,0.1698655998093923,0.016375855330728748,289.57592516198827,0.09161722584389717,266.2389810645366
Poltavska,2021,3,0.25613431895059413,0.09911200785536756,0.008451833327241467,268.6173045078064,0.049324022258286394,266.92869107135033
Rivnenska,2021,3,0.2701425965096633,0.13523597558227907,0.011736546761910162,271.3927923809075,0.07083499131219398,255.86717656625822
Sumska,2021,3,0.231295469573653,0.09343594914824316,0.0075225805280810945,244.02184412182478,0.044887676436955584,266.2391020568463
Ternopilska,2021,3,0.27507219719884246,0.12675929701872632,0.011272858273453727,269.6177465273392,0.061742063624980394,240.45767257068943
Vinnytska,2021,3,0.2577080867510475,0.1151430825731479,0.010325948823202553,279.67012461456284,0.059486662969813246,266.22897415972557
Volynska,2021,3,0.3201120557256502,0.18758952574050103,0.01730928783801642,257.37935499919007,0.10629558065824186,266.11030615663844
Zakarpatska,2021,3,0.2551554083047155,0.15590652217399648,0.01579270938451466,275.7460392318814,0.09491855236120421,270.9214525730197
Zaporizka,2021,3,0.28478781921848545,0.13162002405621526,0.011158714116279559,281.9524557151713,0.07056622376632805,270.15111696826756
Zhytomyrska,2021,3,0.27056426266317957,0.1295801902039594,0.011589589645564837,279.01218598944297,0.07046469949589226,256.02743777724027
Avtonomna_Respublika_Krym,2021,8,0.2777443436250138,0.15669195896215415,0.022282133451424553,308.4165573616561,0.11273751405120662,290.9261933385102
Cherkaska,2021,8,0.47531843630137255,0.3093626250762019,0.0730450705575811,299.35840906134666,0.2330056563256127,286.24478943677803
Chernihivska,2021,8,0.42876387674497746,0.2701873496718489,0.0632232179695299,294.54894929018286,0.21250442465061134,285.1105014402457
Chernivetska,2021,8,0.539290912477841,0.3702898340059884,0.09212634058189278,297.81679267697206,0.2607170001493525,285.8789244505178
Dnipropetrovska,2021,8,0.4075116811945678,0.23327380317604574,0.03554770559277791,304.28543045115657,0.17146581554346155,284.2600516061859
Donetska,2021,8,0.4091571829428137,0.2203035584559529,0.03490090000573303,302.8348102954388,0.16604786887356515,283.08333413262636
Ivano_Frankivska,2021,8,0.516273733116099,0.34429462150361617,0.08405861298088366,290.15324524334187,0.24495364457797095,284.91209366314746
Kharkivska,2021,8,0.37444154606415236,0.1996751400220888,0.03315540023378253,305.84967765215004,0.15827440399359838,252.57924722018376
Khersonska,2021,8,0.3116055874521989,0.18316337811045497,0.028862331742498724,307.3184300128136,0.13536739788885613,289.49517328327926
Khmelnytska,2021,8,0.5079309158952096,0.34541602645923664,0.08269360967665586,290.3220961619346,0.2389650431620699,285.02033752873325
Kirovohradska,2021,8,0.4483043496357999,0.27970020110344984,0.054074642508148855,302.61141548542423,0.2015161000652371,287.01504053676064
Luhanska,2021,8,0.366031695995051,0.18671072092826244,0.030749026925451225,307.38610469484325,0.14896835940239603,259.45757494729946
Lvivska,2021,8,0.5544093062813281,0.3976008602028588,0.08619002603422707,291.5887645072851,0.24708984482444135,283.8893688221184
Mykolaivska,2021,8,0.3617136990236133,0.21216228491634206,0.03410671228777976,307.02475610444355,0.1523254371481606,288.2311733637417
Odeska,2021,8,0.35698526125671043,0.21200255939539797,0.036002954255911816,307.29750964656046,0.15430315023427602,288.5264823176433
Poltavska,2021,8,0.4084615043111614,0.23606101212425154,0.04599642620905921,303.0153591150284,0.18217913658876456,287.13399571920684
Rivnenska,2021,8,0.5477369740529697,0.38332193899352995,0.07913651121177846,282.5416772565052,0.23743250317980355,284.1820372563374
Sumska,2021,8,0.4524351419526109,0.27634010640758755,0.061918046108123743,300.4940200156027,0.2172621301019646,286.0973335040335
Ternopilska,2021,8,0.5184839836046612,0.3466727656862241,0.07715113421081829,292.31792237827005,0.2354476162123264,284.2297964249097
Vinnytska,2021,8,0.4861252029415144,0.3185119943311529,0.07719064472396138,296.8546602510675,0.23676293141324387,285.4998309036555
Volynska,2021,8,0.527892440413992,0.36884875245773036,0.06725964170405228,293.75621140754214,0.2290254400403273,284.1149699500165
Zakarpatska,2021,8,0.5147178606098675,0.3403454665640359,0.07564790513272716,299.19490860387606,0.24887061736066482,286.07238142437507
Zaporizka,2021,8,0.346099893734964,0.18718380070669946,0.029006640966110834,307.16157397897354,0.14389504825148616,289.8599379365638
Zhytomyrska,2021,8,0.46191975243699346,0.3036325171941858,0.06757701186764155,290.21131913515023,0.21864805293315712,284.5544141063644
Avtonomna_Respublika_Krym,2021,9,0.25021660252103006,0.130525418292239,0.015061730953289193,295.52854924905307,0.08526670116330598,277.37564800556555
Cherkaska,2021,9,0.31337017722777066,0.15627602269099714,0.022717290589443075,273.34709076579526,0.12220828402459323,279.6886417526762
Chernihivska,2021,9,0.3249832500133711,0.16261743153071995,0.021477721985272098,269.6704985591869,0.11388851067237184,257.0611986410837
Chernivetska,2021,9,0.35102399340308904,0.19337387757098481,0.03087680691902957,282.9807125281325,0.15306477154096124,281.1858946230212
Dnipropetrovska,2021,9,0.290546568633592,0.13458543357229227,0.013648558155256202,288.8959102837246,0.092672860119953,279.6740777699903
Donetska,2021,9,0.3064078599444208,0.1453454252234962,0.01587303950452919,280.6854283322897,0.09802473722208081,279.62580565971774
Ivano_Frankivska,2021,9,0.3845273839477212,0.20221772978141364,0.035531402589887386,281.59802114487434,0.16553925626712038,279.8059568969613
Kharkivska,2021,9,0.281432989158123,0.12086671423901997,0.012456145776802744,268.0340234675082,0.0803616734071165,276.37821681231884
Khersonska,2021,9,0.24256245083247613,0.12509462196780313,0.014516208068887105,290.13848589049445,0.08573819851154624,280.9488754311628
Khmelnytska,2021,9,0.36317857768850814,0.1975869249486827,0.030102378011184625,285.9654588595385,0.1521129748255951,278.7989747948361
Kirovohradska,2021,9,0.30994418898883364,0.14324142211694074,0.016203397946802662,284.7716775609028,0.09735856664374629,280.01703382931584
Luhanska,2021,9,0.2995032189149229,0.13557163212176038,0.014092717156815133,256.62617292827065,0.08699023898000464,278.9606822068451
Lvivska,2021,9,0.42149768995851417,0.23309981218028308,0.04381371049203798,286.4123351301679,0.18949439339783422,281.0140632335879
Mykolaivska,2021,9,0.2728964569360853,0.13149386216267714,0.014085677455320317,290.6064155518229,0.08688852213355357,281.1061590188821
Odeska,2021,9,0.26287191482542765,0.13516569590429947,0.01659545318946117,297.71446893296604,0.0959399261615132,281.7376936222617
Poltavska,2021,9,0.30302352954216016,0.1371160137047716,0.01503796299703504,285.71850709262975,0.091368856780146,278.906940968161
Rivnenska,2021,9,0.40191135550890605,0.2272144502836974,0.04039520679478997,265.1069350113655,0.17830137328384807,276.13603839001604
Sumska,2021,9,0.3366278189366991,0.15437566280623824,0.019248801697170796,255.6382929593349,0.10273993882391648,272.618303646709
Ternopilska,2021,9,0.3812411937503135,0.19036463762581493,0.03183815124673873,278.619846132835,0.15738433123898063,278.4322384877227
Vinnytska,2021,9,0.334829256549498,0.1826145037241509,0.0279436284031195,265.0001677501221,0.14513826299968074,276.0652955276964
Volynska,2021,9,0.36320570892560256,0.1941426838046316,0.031968353861299884,278.00118255049125,0.1628259391252827,277.3504571490992
Zakarpatska,2021,9,0.39941487343423393,0.2293732225442377,0.03973854874022317,297.6302167905182,0.186992051402569,271.51066058639316
Zaporizka,2021,9,0.25931178452701603,0.1246829364430662,0.013268504745617636,294.1250497227951,0.0845809261772622,280.7933404441122
Zhytomyrska,2021,9,0.34622981726711755,0.19012434355732474,0.027196920643831883,275.5369904882428,0.14420970485183665,271.24941526419076
Avtonomna_Respublika_Krym,2021,4,0.45475048916902433,0.29129990933138333,0.05525365708828403,291.7608631002273,0.18787150686058451,276.8503403185708
Cherkaska,2021,4,0.3292551382326747,0.1643100673427934,0.01671585108365993,271.52501357050494,0.07996268441933295,275.0749830536401
Chernihivska,2021,4,0.37127016656373496,0.21715553108848712,0.022883449771798958,266.53295685546703,0.09822104811574783,273.5436305331064
Chernivetska,2021,4,0.38831550478098203,0.23658027664044678,0.03182905679769835,281.66269851972436,0.1271292185268083,275.7539420331058
Dnipropetrovska,2021,4,0.3812233966980666,0.19692450978410145,0.022271562953570846,291.8774903865437,0.1054763181413252,275.85210035997216
Donetska,2021,4,0.3269099392777934,0.15274476489263714,0.013358163442945319,287.7421109355193,0.06807053520587854,276.6308112450505
Ivano_Frankivska,2021,4,0.43001195106044066,0.28666667625107833,0.03981802786447816,279.0793742745088,0.147530184912215,260.44405764541295
Kharkivska,2021,4,0.3140085822610715,0.13673571908085058,0.010974302012590847,294.92802173935263,0.0577694886735112,275.7487959858855
Khersonska,2021,4,0.4846345246336927,0.31478421612397095,0.058560814066909245,293.85590015091077,0.1992880253481487,274.1650185455543
Khmelnytska,2021,4,0.37646308210032364,0.22968477852351432,0.028599855675182893,282.5444326100674,0.11533419642682534,261.5315929475475
Kirovohradska,2021,4,0.35282801970289074,0.16847374809889784,0.018429990034624845,294.77085825779415,0.0893208848374848,275.71572605089614
Luhanska,2021,4,0.29854414997823475,0.14121611860358838,0.011052817233766183,289.616397114674,0.05964238096966711,277.13603799564595
Lvivska,2021,4,0.407120533741497,0.27230635529052083,0.03581013477225473,283.0707601682668,0.14498872006274083,256.84834185932414
Mykolaivska,2021,4,0.47110019627038646,0.27419971728629816,0.044355930948666966,295.668800787516,0.16617077829591184,276.1829234966881
Odeska,2021,4,0.4893209826505432,0.3064679719142734,0.0469261020211186,294.2352783331699,0.17345371714216382,277.3811253927488
Poltavska,2021,4,0.3358661813720524,0.1652666413236254,0.01640183904474098,291.98262654089046,0.07811603951595156,275.17902488917974
Rivnenska,2021,4,0.35361830952305146,0.23184982137610116,0.026670563372744188,280.602734550657,0.12211766554110871,262.8829506031838
Sumska,2021,4,0.3480408559908122,0.17987493455635337,0.016180269321805794,283.4367406905514,0.07575504649886194,274.2019387155061
Ternopilska,2021,4,0.40355202708144783,0.24841849798614757,0.03131650612209758,274.1570332131346,0.12233514897806536,258.83728699003865
Vinnytska,2021,4,0.34924288503613354,0.19572707142082849,0.024003259236418044,286.8527704567326,0.10351532184985282,266.26679797322026
Volynska,2021,4,0.41257766523548645,0.2912856103929649,0.03615295593608244,278.25120707863357,0.1511306144400335,266.66999147108265
Zakarpatska,2021,4,0.36640089765939143,0.24091775290381853,0.031798317361649446,279.3891631537538,0.14249581415996096,245.24337133352694
Zaporizka,2021,4,0.4204652015705535,0.23342398364858724,0.034912980251167076,291.7952300797121,0.14104731899051962,275.5594592723089
Zhytomyrska,2021,4,0.375645962294604,0.22820802530203385,0.027964419728078293,283.55765130787586,0.1165634658440555,247.98380355223716
Avtonomna_Respublika_Krym,2021,7,0.3443997772082254,0.2090547694209119,0.03622273294126565,310.66464048628757,0.14784494729953576,293.1303092242374
Cherkaska,2021,7,0.6295003846043615,0.5109309060951329,0.13403553694179804,300.86388586468195,0.2913279496566668,290.8475846938956
Chernihivska,2021,7,0.5640147016512832,0.4399268739278695,0.11501624823504224,301.29465722680555,0.26868581356997107,290.2165581760777
Chernivetska,2021,7,0.6235096490790021,0.4911784988256568,0.12522679756107458,300.78853712016087,0.2853921294560461,290.21520452181784
Dnipropetrovska,2021,7,0.5725127883369459,0.4382260577690524,0.06920315672875688,304.2287642178916,0.24192945104634575,289.11856353375805
Donetska,2021,7,0.521363693138004,0.3672549895151584,0.06553863499496639,305.90042997452474,0.22649032561004376,287.72049500612866
Ivano_Frankivska,2021,7,0.5887302292069904,0.45015782303927004,0.11828117600280705,300.52005326106723,0.2769751913614761,289.80675446920554
