region_name,year,month,NDVI,LST_Night,LST_Day,FPAR,LAI,EVI
Avtonomna_Respublika_Krym,2016,8,0.25562537307284366,290.56933916710994,306.6888338462018,0.09595946938788676,0.01831335036443692,0.14121024560399523
Cherkaska,2016,8,0.42990458686924404,287.1457363791642,301.9752274714188,0.2090445460070732,0.058821806217852386,0.2579010217338353
Chernihivska,2016,8,0.5109983666811868,284.9724193568791,298.7267011730319,0.23815133682365314,0.07549452542837673,0.32167732022572937
Chernivetska,2016,8,0.41474952018069317,285.86461956167625,305.4834036521717,0.1941652361243554,0.052630667939143366,0.2541480579866278
Dnipropetrovska,2016,8,0.35242406329988046,289.4716715237797,307.3886214090398,0.14265757547712332,0.027229408711930844,0.18908626991999036
Donetska,2016,8,0.3390461619499479,289.93001391875686,308.7931144777532,0.12792572081713005,0.024327561405958806,0.17731128453361153
Ivano_Frankivska,2016,8,0.4387839657860456,286.24997407132776,303.86568143658087,0.202854286626541,0.05632507544295348,0.2640499730040944
Kharkivska,2016,8,0.4286179019943629,288.3383405138363,302.46803112708506,0.18088015816043818,0.04205214958522257,0.23848075976546523
Khersonska,2016,8,0.2925404614144028,287.3110791323428,308.2545934688503,0.11809990009039258,0.024309836685538662,0.16644392345654482
Khmelnytska,2016,8,0.4052854301065365,286.1847245592147,302.62558259268565,0.19927757529927118,0.05550068937789408,0.25223123030495703
Kirovohradska,2016,8,0.39699533724539127,288.76091915081156,303.3907838558096,0.18106763377743018,0.044300870791831336,0.22252222056542728
Luhanska,2016,8,0.3967746689388109,289.3379937606934,306.26644103067076,0.16017441390184636,0.035314935150701415,0.21167252568009273
Lvivska,2016,8,0.44522557488099185,285.15785716429366,302.08569173238783,0.20697411716354075,0.05422073180793116,0.2796583435389629
Mykolaivska,2016,8,0.318852165425781,289.4786818143922,308.6650139172524,0.1250477278352972,0.025341841789131354,0.16571076007473956
Odeska,2016,8,0.27345039783133684,290.0854020936872,309.65618013581513,0.10208648462696007,0.02016440358601434,0.1425045451785272
Poltavska,2016,8,0.46575998831648735,287.99722565702814,302.686640034116,0.2221123128104324,0.06433435306842006,0.28628553980340465
Rivnenska,2016,8,0.4230864611807342,285.8861453110984,301.99895380131755,0.2119700010261562,0.05790008078346966,0.2748694275703002
Sumska,2016,8,0.5100444740938173,286.9161165600935,292.91363120525716,0.24096866376723117,0.07796704594933654,0.3191405782818261
Ternopilska,2016,8,0.39045369580740386,286.1012620567041,304.27710714436614,0.1811406641037265,0.045980324132449485,0.23355513038441147
Vinnytska,2016,8,0.3963773473247756,286.98256751883764,302.80069912252753,0.19124288946793205,0.050496750942582526,0.24278633337942487
Volynska,2016,8,0.403379962017768,285.28237406065244,303.1356431125052,0.19278100011328525,0.046766028908121794,0.2596530245992817
Zakarpatska,2016,8,0.46758754524462315,286.8477002879511,303.5252179836845,0.22471962055473127,0.05994560013701912,0.2964109733572951
Zaporizka,2016,8,0.27999492873362125,288.561880434226,310.62322815033536,0.10817530332177601,0.01975349288361527,0.15057636097865554
Zhytomyrska,2016,8,0.43080909299909337,285.63043612889913,302.18475551637283,0.21555863370646655,0.06105077796848291,0.27380194882350806
Avtonomna_Respublika_Krym,2016,9,0.26236913183763527,283.22970093856117,300.92879920511956,0.08555874098807587,0.0146156157179692,0.1312255170213536
Cherkaska,2016,9,0.30181259503972707,278.2947981328096,272.62816780050935,0.11988476817116767,0.02120117817933372,0.15357262588709075
Chernihivska,2016,9,0.3831241902321551,272.8107763605658,284.4415456447676,0.15667015268663265,0.03141470767917551,0.21038410942019448
Chernivetska,2016,9,0.3353678792493297,277.9129970602257,298.4404587843834,0.13265382489693336,0.02273756878255441,0.17805323927885236
Dnipropetrovska,2016,9,0.28367511411025537,281.5940893769976,272.24344153293646,0.08017056399788712,0.011765626076823006,0.1279307145942663
Donetska,2016,9,0.3022472972998724,278.02268356391204,255.5575690283224,0.07568312633196565,0.011911607996909556,0.13357068228795027
Ivano_Frankivska,2016,9,0.39257411274148546,281.9491910233349,289.9403784205731,0.15505577050690605,0.029934482859791493,0.21889630241058786
Kharkivska,2016,9,0.3270649459493436,274.49010264923413,268.7660500612879,0.09622082814614831,0.01659279840240816,0.14269966127081166
Khersonska,2016,9,0.28371343045297726,282.4591286958571,297.3715753144998,0.09098472426759562,0.015252020568897484,0.1362786030475176
Khmelnytska,2016,9,0.3111398562903772,280.8371599917308,296.5400895631737,0.12205198549450215,0.020715374074745628,0.15622407360628748
Kirovohradska,2016,9,0.27645046262897627,280.7902393498609,294.49889775678105,0.09329083153846819,0.015178436569185065,0.12911221341559576
Luhanska,2016,9,0.32407020257699576,275.6040150261264,263.90672636001506,0.09185906296302127,0.015407405144903123,0.14545257861603644
Lvivska,2016,9,0.41754209087431005,279.7728462355905,283.8798676935503,0.17419491815858493,0.03448252099933559,0.2465669865898566
Mykolaivska,2016,9,0.26955927828571963,283.5631578701119,295.5453315105083,0.07699996299442911,0.012224632150670184,0.11498921191989823
Odeska,2016,9,0.2581818629176817,283.31102581194585,301.545691848987,0.07503432571950627,0.01231683658260874,0.11404775086734434
Poltavska,2016,9,0.31849193262116543,273.5985308044546,289.3237547794481,0.12320874120063498,0.021810213776275428,0.1536716538780667
Rivnenska,2016,9,0.3550212835713753,280.07339740458383,262.41426437380846,0.14481067299869635,0.02599425841564526,0.19497219905823737
Sumska,2016,9,0.3792352514448737,272.49192111115923,284.0332795019321,0.1541192541249537,0.03075661112065264,0.1980797378481828
