region_name,year,month,LST_Night,NDVI,EVI,LAI,FPAR,LST_Day
Avtonomna_Respublika_Krym,2019,10,277.73283696087225,0.2048213505690822,0.09355014465203589,0.006408442781002802,0.05147289349811808,289.5826112097164
Cherkaska,2019,10,260.0136484659052,0.244997723262066,0.10060380254093142,0.008660049182823515,0.06640069646562458,290.4705431942169
Chernihivska,2019,10,268.44547891270406,0.292105799339705,0.13315306884259823,0.011456640149580522,0.08589669897540728,275.6361864547217
Chernivetska,2019,10,266.96615639373783,0.30472180743734195,0.14502400024119538,0.01477760205892123,0.10449038694012609,287.5203179512533
Dnipropetrovska,2019,10,275.9444280128612,0.39565981817007706,0.1791375284461098,0.010944943259468588,0.08275711013921734,281.5706412129972
Donetska,2019,10,272.67222970124175,0.3135763144653978,0.13012111138008867,0.009211461823669172,0.0703028017041434,285.9910743438157
Ivano_Frankivska,2019,10,278.0685496923645,0.34066164591701054,0.17741766989358623,0.017418604103538897,0.11828660053609051,290.35725483760956
Kharkivska,2019,10,274.37923237664535,0.35002549181209086,0.13004941968989497,0.007953952400374354,0.060880460021739885,270.3655646007018
Khersonska,2019,10,276.8671081508807,0.37082387539856926,0.19451115597683527,0.016199694932319042,0.10664964858299424,290.07295928974514
Khmelnytska,2019,10,272.97180271233043,0.28913401276907225,0.13829027862610024,0.012708324335048477,0.09382111634712859,288.79705528591114
Kirovohradska,2019,10,270.94912719274464,0.29918589447686356,0.1155503372820072,0.008244966107183851,0.060775425603928894,289.6754666631472
Luhanska,2019,10,273.6218059804965,0.3521799681640461,0.15222594818810176,0.012837348364793173,0.08896163587639476,285.7136414535481
Lvivska,2019,10,272.29785068743286,0.3735141081180792,0.21251231561633105,0.02517985694485138,0.15719750353400577,288.8318488655673
Mykolaivska,2019,10,276.5627016911835,0.320850752205871,0.13408423551266466,0.009168810123707766,0.06802856779922052,291.52953199945046
Odeska,2019,10,275.90806491930516,0.3076268058080675,0.13515257000773667,0.011204479632056721,0.0770068323274875,288.77537487736487
Poltavska,2019,10,270.23800976146947,0.2793879997756903,0.10088284736933717,0.008271616272858306,0.05913185958319646,286.2408766576571
Rivnenska,2019,10,257.0463280322967,0.33487462895083214,0.19410576114852535,0.02268497163072649,0.13734027001418678,289.8841990395992
Sumska,2019,10,276.3482272269196,0.3152170150707927,0.12149126908130999,0.009907892278414076,0.07353072627282668,285.8175114029319
Ternopilska,2019,10,273.3013743962038,0.28195122195560995,0.1284880188811689,0.011183073829225086,0.08487226415627391,289.58176662871415
Vinnytska,2019,10,250.76391963822365,0.27932446230992364,0.12425634635867927,0.011788895189337229,0.08686254461371373,290.64650289947525
Volynska,2019,10,270.71608068428685,0.35154492539957355,0.20089453415025688,0.02214031737994343,0.14718171411017011,290.14190536416197
Zakarpatska,2019,10,224.60491329103937,0.275684384006377,0.1468036163189767,0.012944520173154643,0.10190923920466764,236.82698520238574
