region_name,year,month,LST_Night,EVI,LAI,LST_Day,NDVI,FPAR
Avtonomna_Respublika_Krym,2017,7,291.5077785554142,0.1458962698678307,0.021355695513177175,312.7375707165444,0.24856332152052127,0.09999010117423453
Cherkaska,2017,7,289.3782000387954,0.3877032873623437,0.0998270685656281,302.6681083666124,0.5584793824124309,0.25902515385350894
Chernihivska,2017,7,287.90387520505897,0.41546628582242257,0.10923590006379934,299.8384810018461,0.5836466651603079,0.2645869992905443
Chernivetska,2017,7,289.45606675749116,0.4075549004693055,0.09000167437212013,302.9150483202609,0.5513488500519461,0.2507606508236018
Dnipropetrovska,2017,7,290.22851809560905,0.31051727103454935,0.05228079621250032,305.68707505386897,0.4768655208333845,0.2058027214148394
Donetska,2017,7,290.6689937865057,0.26939877549701224,0.04774576909221232,306.4766889853094,0.44120795054045386,0.1872642201035251
Ivano_Frankivska,2017,7,288.10100636873136,0.37595038552244164,0.08897801902739019,301.9100818090302,0.5270160712555122,0.24385596564686635
Kharkivska,2017,7,288.99232083043205,0.29933853433810426,0.058880177654492556,305.0344948735542,0.47123816749142766,0.20999453780351504
Khersonska,2017,7,291.40602337789875,0.19904867687205194,0.034533118931337134,310.4211736568138,0.3126393467586694,0.14013749692836727
Khmelnytska,2017,7,288.03528987822443,0.4172932519176393,0.10136480858011937,300.68252007175624,0.5568521599717061,0.25494424316114694
Kirovohradska,2017,7,289.6266781182271,0.34767605311769895,0.07695807777838377,304.75796999436113,0.5267460478632231,0.23919642341152034
Luhanska,2017,7,290.3329099624702,0.27206121873181904,0.0543747566982458,305.4606660114796,0.45085070070652744,0.19767798632565517
Lvivska,2017,7,286.4137146342864,0.36116017930144273,0.08342316997812284,300.5154894828913,0.5114566735849367,0.23797454416382485
Mykolaivska,2017,7,291.18245066344895,0.2301045920642905,0.04218695953853192,310.5583193958089,0.38184764511987374,0.16795817371610433
Odeska,2017,7,290.71554702028567,0.24387466650097428,0.04470799331105115,309.01423671092294,0.38147929995160695,0.17120931588015897
Poltavska,2017,7,288.9395722189049,0.36545184785110946,0.09561032036382928,304.183665998666,0.5473862358324103,0.26137466365435585
Rivnenska,2017,7,287.96888364189635,0.41768867832752204,0.09641858341220781,299.0382054298044,0.5569048744131795,0.25396795246569165
Sumska,2017,7,287.6903688074916,0.43773545959089477,0.12258249317929976,299.74633498142657,0.601720101688549,0.27981448169782286
Ternopilska,2017,7,285.53028456276115,0.39542347873519434,0.09811142606725198,300.66304860163575,0.5378573603196943,0.25435018563408235
Vinnytska,2017,7,288.9976166771151,0.39179513799325616,0.08817659534092138,302.035716983387,0.5337942883317333,0.2416346589486709
Volynska,2017,7,287.1666607737433,0.362827974926042,0.07347740672729365,296.1614866442353,0.506927490425374,0.22614929779113052
Zakarpatska,2017,7,289.4298035927135,0.37312186691091875,0.07947559057852677,303.1426646474043,0.5422998245969151,0.24392403875478316
Zaporizka,2017,7,291.2320212055702,0.2397024190818232,0.039219502908459616,308.92856271341816,0.3775936741691688,0.16331440789345514
Zhytomyrska,2017,7,288.1624588501192,0.41079295099077556,0.09651879071313853,299.4355534497245,0.5707557056108296,0.2550664307735473
Avtonomna_Respublika_Krym,2017,10,248.69979198940095,0.0969377878748517,0.006071560670480296,273.3417992724696,0.20397506471494534,0.048083076666627846
Cherkaska,2017,10,229.7346855448855,0.12611405196107156,0.0088540264925762,212.17742284190803,0.32076633596645127,0.05907712160294197
Chernihivska,2017,10,247.93015057638593,0.14818240101097863,0.012838708531034134,224.3411438490577,0.29531684597037,0.08505420331756505
Chernivetska,2017,10,252.65320503662156,0.15822073627902206,0.015787006642847715,264.81763357007696,0.345085732895598,0.10645309951941571
Dnipropetrovska,2017,10,190.170624598136,0.12103529263270142,0.0073632654744179085,222.56308176672957,0.2906118256008809,0.051827006763109494
Donetska,2017,10,219.74257523122884,0.09838949399240897,0.005863805230913885,196.75167547712545,0.24784413444946518,0.043094730054957564
Ivano_Frankivska,2017,10,257.283997509583,0.19900764256382866,0.021874416794285315,232.2423050561572,0.3807373283393195,0.12440316455072865
Kharkivska,2017,10,207.3461788836391,0.08451065464878561,0.005146858786460214,160.45397863744603,0.23086483693591084,0.03838635152424187
Khersonska,2017,10,258.1522231053353,0.14673607527881072,0.009788117987604268,267.2557842215373,0.2858848388158356,0.07079258448460676
Khmelnytska,2017,10,249.1167202397601,0.1498640716543804,0.012330015362658375,252.56822020551354,0.3397646661755495,0.08240066346613996
Kirovohradska,2017,10,240.7004956984573,0.11338627799270908,0.007346463183148583,202.3400231217999,0.30095910341247095,0.04821088716086931
