region_name,year,month,NDVI,EVI,FPAR,LST_Night,LAI,LST_Day
Avtonomna_Respublika_Krym,2011,7,0.2841492979912599,0.1746522347374885,0.11854463960857888,291.94065995639465,0.02737041424538979,311.7318681630564
Cherkaska,2011,7,0.5726464486941967,0.40050335218332483,0.2578631836145995,289.8335734425427,0.1014248893062857,301.49455543939337
Chernihivska,2011,7,0.584747355962116,0.3827280161415521,0.24990338170787027,284.3247915228757,0.09267186581140177,298.57086569369676
Chernivetska,2011,7,0.557558759206874,0.3938300397800811,0.2502628548563354,288.560553587463,0.0930342552013984,301.267216050654
Dnipropetrovska,2011,7,0.5136735479351094,0.3481130662388322,0.2196806937119751,291.1654929943287,0.05915546926341569,305.0464085547004
Donetska,2011,7,0.47568774311397294,0.30971039992443283,0.20623305797309294,291.0873381864788,0.05516120362142301,306.4372871751461
Ivano_Frankivska,2011,7,0.5420485975634298,0.35493554308513003,0.24366838275349814,282.59312919340124,0.08384487165526441,298.4183474061488
Kharkivska,2011,7,0.5051369050629222,0.3401071467383878,0.22637919256488803,290.37671294369574,0.06874362611196892,302.2984408542593
Khersonska,2011,7,0.35993253892119714,0.22814201165929585,0.15951703392983452,291.83176832732215,0.03988422450163269,310.43451506582596
Khmelnytska,2011,7,0.5266053883235235,0.3529196868397184,0.22934847760234056,272.81370418517776,0.07867397949437706,296.1599823520328
Kirovohradska,2011,7,0.5587616097387689,0.3915484038438376,0.24779601049507521,290.30288070358404,0.08539393714369731,303.1757340307271
Luhanska,2011,7,0.5013472268330142,0.3237658063231995,0.21961342309131549,291.21285055885994,0.0658541376950962,305.43299832553157
Lvivska,2011,7,0.5559713352694474,0.376352611486578,0.2450187472940317,271.73391341399315,0.08419679680623685,295.9639189983016
Mykolaivska,2011,7,0.4459424859966444,0.28672886280321114,0.19838120807983792,291.14585337977434,0.055784641575720335,307.86723860532663
Odeska,2011,7,0.4216552199126043,0.2594507914414524,0.18140504473706015,290.97592911920975,0.04924070954081073,307.7323258835563
Poltavska,2011,7,0.5811842379338464,0.4087142091082925,0.2644705704710723,290.2616922298861,0.1038235980410038,300.4295970634188
Rivnenska,2011,7,0.5023394202802627,0.3348698574100431,0.21967609978419386,283.8000027810809,0.06787653490742983,292.09093281020256
