idx_x,idx_y,crop_ratio,overlap_ratio
202,161,0.0014,1.0
202,162,0.0013,1.0
202,165,0.0056,1.0
202,166,0.0071,1.0
202,167,0.0078,1.0
203,150,0.0063,1.0
203,151,0.0035,1.0
203,152,0.0038,1.0
203,165,0.0008,1.0
203,166,0.0099,1.0
203,167,0.0134,1.0
204,151,0.0023,1.0
204,152,0.0356,1.0
204,153,0.01,1.0
204,164,0.0045,1.0
204,165,0.0018,1.0
204,166,0.0325,1.0
204,167,0.1054,1.0
205,144,0.0028,1.0
205,145,0.0023,1.0
205,146,0.0016,1.0
205,147,0.0029,1.0
205,149,0.0019,1.0
205,150,0.0364,1.0
205,151,0.0155,1.0
205,152,0.0055,1.0
205,153,0.0283,1.0
205,159,0.0038,1.0
205,160,0.0026,1.0
205,162,0.0145,1.0
205,163,0.0049,1.0
205,164,0.0003,1.0
205,165,0.034,1.0
205,166,0.0261,1.0
205,167,0.0129,1.0
206,142,0.0028,1.0
206,143,0.0014,1.0
206,144,0.0154,1.0
206,145,0.002,1.0
206,146,0.0211,1.0
206,147,0.0046,1.0
206,150,0.0015,1.0
206,151,0.0014,1.0
206,162,0.0022,1.0
206,163,0.0002,1.0
206,164,0.0028,1.0
206,165,0.004,1.0
206,166,0.0037,1.0
206,167,0.0018,1.0
206,169,0.0037,1.0
207,142,0.0134,1.0
207,143,0.0053,1.0
207,144,0.003,1.0
207,145,0.0249,1.0
207,146,0.0033,1.0
207,148,0.003,1.0
207,149,0.007,1.0
207,163,0.0018,1.0
207,166,0.0036,1.0
208,138,0.0014,1.0
208,139,0.0032,1.0
208,140,0.0206,1.0
208,141,0.0017,1.0
208,142,0.0108,1.0
208,143,0.0118,1.0
208,144,0.0035,1.0
208,145,0.0028,1.0
208,151,0.002,1.0
208,152,0.0014,1.0
208,159,0.002,1.0
208,166,0.0059,1.0
208,167,0.007,1.0
209,136,0.0058,1.0
209,137,0.0116,1.0
209,138,0.0034,1.0
209,139,0.0063,1.0
209,141,0.0088,1.0
209,142,0.0152,1.0
209,143,0.0029,1.0
209,145,0.0027,1.0
209,149,0.0023,1.0
209,162,0.0013,1.0
210,137,0.0015,1.0
210,138,0.0194,1.0
210,139,0.0085,1.0
210,141,0.0062,1.0
210,145,0.0045,1.0
210,148,0.0049,1.0
210,149,0.006,1.0
210,157,0.0018,1.0
210,160,0.0016,1.0
210,161,0.0058,1.0
210,162,0.0085,1.0
210,163,0.0042,1.0
211,134,0.0046,1.0
211,135,0.0077,1.0
211,144,0.0042,1.0
211,157,0.0022,1.0
211,158,0.003,1.0
211,159,0.0039,1.0
211,160,0.0128,1.0
211,161,0.0336,1.0
211,162,0.0148,1.0
211,163,0.0044,1.0
