idx_x,idx_y,crop_ratio,overlap_ratio
1060,751,0.008,1.0
1061,749,0.0148,1.0
1061,751,0.0536,1.0
1061,755,0.0332,1.0
1061,756,0.022,1.0
1062,750,0.0132,1.0
1062,751,0.0164,1.0
1062,752,0.0052,1.0
1062,754,0.006,1.0
1062,756,0.024,1.0
1063,747,0.024,1.0
1063,748,0.0516,1.0
1063,749,0.0064,1.0
1063,750,0.016,1.0
1063,751,0.006,1.0
1063,752,0.092,1.0
1063,753,0.0096,1.0
1063,758,0.1144,1.0
1063,760,0.0108,1.0
1064,733,0.0568,1.0
1064,734,0.0176,1.0
1064,735,0.0108,1.0
1064,736,0.0156,1.0
1064,747,0.1068,1.0
1064,748,0.0164,1.0
1064,749,0.0104,1.0
1064,751,0.0336,1.0
1064,752,0.0312,1.0
1064,753,0.004,1.0
1064,754,0.0236,1.0
1064,758,0.1972,1.0
1064,759,0.374,1.0
1065,733,0.0252,1.0
1065,734,0.1492,1.0
1065,735,0.046,1.0
1065,736,0.0056,1.0
1065,747,0.0072,1.0
1065,749,0.0084,1.0
1065,750,0.0132,1.0
1065,753,0.036,1.0
1065,754,0.0132,1.0
1065,759,0.1132,1.0
1066,733,0.016,1.0
1066,735,0.012,1.0
1066,742,0.0112,0.8428882700988208
1066,743,0.0532,1.0
1066,752,0.024,1.0
1066,753,0.0992,1.0
1066,754,0.0332,1.0
1066,759,0.0216,1.0
1066,763,0.0076,0.9479848893824502
1067,734,0.006,1.0
1067,735,0.164,1.0
1067,736,0.0048,1.0
1067,743,0.0548,1.0
1067,744,0.0272,1.0
1067,752,0.0128,1.0
1067,753,0.0384,1.0
1067,754,0.0724,1.0
1067,759,0.0372,1.0
1067,760,0.0764,1.0
1067,763,0.0024,1.0
1067,764,0.0052,0.5434396593364179
1068,733,0.1364,0.9999781716768931
1068,734,0.0264,1.0
1068,735,0.052,1.0
1068,736,0.034,1.0
1068,743,0.0168,1.0
1068,747,0.0156,1.0
1068,748,0.0412,1.0
1068,752,0.0112,1.0
1068,753,0.0152,1.0
1068,754,0.0192,1.0
1068,759,0.0124,1.0
1068,760,0.0424,1.0
1068,761,0.0216,1.0
1068,762,0.1392,1.0
1068,763,0.0244,1.0
1068,764,0.0192,0.962241883230475
1069,733,0.0124,0.564129338864717
1069,734,0.0696,1.0
1069,735,0.028,1.0
1069,736,0.0092,1.0
1069,737,0.0212,1.0
1069,743,0.0208,1.0
1069,744,0.0628,1.0
1069,745,0.0124,1.0
1069,747,0.038,1.0
1069,748,0.0036,1.0
1069,752,0.0628,1.0
1069,759,0.0152,1.0
1069,762,0.024,1.0
1069,763,0.0048,1.0
1070,734,0.0008,0.6892551157442738
1070,735,0.0328,1.0
1070,737,0.0276,1.0
1070,738,0.0036,1.0
1070,740,0.006,1.0
1070,743,0.0084,1.0
1070,744,0.026,1.0
1070,746,0.026,1.0
1070,748,0.0032,1.0
1070,749,0.0396,1.0
1070,751,0.0332,1.0
1070,752,0.0672,1.0
1070,756,0.0012,1.0
1070,760,0.054,1.0
1070,764,0.0244,1.0
1070,765,0.0064,1.0
1071,737,0.0352,1.0
1071,738,0.0236,1.0
1071,740,0.0048,1.0
1071,741,0.0136,1.0
1071,743,0.0128,1.0
1071,744,0.006,1.0
1071,749,0.0732,1.0
1071,750,0.0056,1.0
1071,756,0.0168,1.0
1071,758,0.0304,1.0
1071,760,0.0344,1.0
1071,763,0.0552,1.0
1071,764,0.088,1.0
1071,765,0.0024,1.0
1071,766,0.014,0.9259166161225266
1072,736,0.0232,1.0
1072,741,0.0264,1.0
1072,745,0.0048,1.0
1072,760,0.0088,1.0
1072,761,0.0016,1.0
1072,762,0.3356,1.0
1072,763,0.2736,1.0
1072,764,0.0468,1.0
1072,765,0.1072,1.0
1072,766,0.0048,1.0
1072,767,0.0048,0.5266860305710624
1073,736,0.026,1.0
1073,737,0.026,1.0
1073,738,0.0072,1.0
1073,741,0.0004,1.0
1073,742,0.0248,1.0
1073,743,0.0732,1.0
1073,744,0.0072,1.0
1073,746,0.098,1.0
1073,756,0.0144,1.0
1073,757,0.04,1.0
1073,758,0.0028,1.0
1073,759,0.0108,1.0
1073,760,0.0204,1.0
1073,761,0.0184,1.0
1073,762,0.1436,1.0
1073,763,0.386,1.0
1073,764,0.0172,1.0
1073,765,0.0016,1.0
1073,766,0.0428,1.0
1073,767,0.0336,0.9199171967958998
1074,736,0.0456,1.0
1074,737,0.0084,1.0
1074,741,0.0136,1.0
1074,742,0.0068,1.0
1074,743,0.0236,1.0
1074,744,0.0236,1.0
1074,756,0.0056,1.0
1074,757,0.3168,1.0
1074,758,0.0668,1.0
1074,760,0.0068,1.0
1074,761,0.206,1.0
1074,762,0.0768,1.0
1074,763,0.384,1.0
1074,764,0.074,1.0
1074,765,0.1556,1.0
1074,766,0.104,1.0
1074,767,0.0224,1.0
1075,734,0.0088,0.7991911013683539
1075,735,0.0736,1.0
1075,736,0.3352,1.0
1075,737,0.0536,1.0
1075,743,0.0012,1.0
1075,744,0.0152,1.0
1075,746,0.002,1.0
1075,749,0.0172,1.0
1075,756,0.1412,1.0
1075,757,0.0496,1.0
1075,758,0.0032,1.0
1075,761,0.0388,1.0
1075,762,0.088,1.0
1075,763,0.204,1.0
1075,764,0.0744,1.0
1075,765,0.056,1.0
1075,766,0.1132,1.0
1075,767,0.032,1.0
1075,768,0.0048,0.7094742783301369
1076,722,0.014,1.0
1076,734,0.4244,1.0
1076,735,0.5624,1.0
1076,736,0.1184,1.0
1076,737,0.062,1.0
1076,738,0.0036,1.0
1076,739,0.006,1.0
1076,740,0.0044,1.0
1076,741,0.0056,1.0
1076,742,0.0264,1.0
1076,743,0.0036,1.0
1076,744,0.04,1.0
1076,745,0.0192,1.0
1076,746,0.0284,1.0
1076,747,0.008,1.0
1076,748,0.0384,1.0
1076,749,0.0916,1.0
1076,750,0.0084,1.0
1076,751,0.0092,1.0
1076,752,0.0272,1.0
1076,756,0.0056,1.0
1076,759,0.0024,1.0
1076,763,0.0232,1.0
1076,765,0.002,1.0
1076,766,0.0552,1.0
1076,768,0.0248,0.9196633969797847
1077,734,0.4372,1.0
1077,735,0.9828,1.0
1077,736,0.57,1.0
1077,737,0.0176,1.0
1077,738,0.0124,1.0
1077,739,0.0136,1.0
1077,740,0.0284,1.0
1077,741,0.0708,1.0
1077,744,0.0104,1.0
1077,745,0.0584,1.0
1077,746,0.02,1.0
1077,749,0.0116,1.0
1077,750,0.0128,1.0
1077,751,0.02,1.0
1077,752,0.0452,1.0
1077,753,0.046,1.0
1077,754,0.0132,1.0
1077,759,0.0176,1.0
1077,763,0.012,1.0
1077,766,0.006,1.0
1077,768,0.0444,1.0
1078,722,0.0064,1.0
1078,725,0.0168,1.0
1078,729,0.0068,1.0
1078,730,0.0036,1.0
1078,734,0.0124,1.0
1078,735,0.4416,1.0
1078,736,0.4556,1.0
1078,737,0.1504,1.0
1078,738,0.0136,1.0
1078,739,0.0004,1.0
1078,740,0.0376,1.0
1078,742,0.0184,1.0
1078,744,0.0092,1.0
1078,749,0.0008,1.0
1078,751,0.0008,1.0
1078,752,0.0284,1.0
1078,753,0.0492,1.0
1078,754,0.0068,1.0
1078,756,0.022,1.0
1078,760,0.008,1.0
1078,761,0.0256,1.0
1078,762,0.0572,1.0
1078,763,0.0224,1.0
1078,764,0.0068,1.0
1078,767,0.0304,1.0
1078,768,0.0216,1.0
1079,717,0.0016,0.9861331682981452
1079,718,0.012,1.0
1079,724,0.0092,1.0
1079,725,0.0024,1.0
1079,732,0.0072,1.0
1079,735,0.0108,1.0
1079,736,0.0184,1.0
1079,737,0.0668,1.0
1079,738,0.0268,1.0
1079,740,0.0168,1.0
1079,741,0.0036,1.0
1079,745,0.0024,1.0
1079,747,0.0064,1.0
1079,760,0.0096,1.0
1079,761,0.09,1.0
1079,762,0.004,1.0
1079,767,0.042,1.0
1080,717,0.0224,1.0
1080,719,0.0112,1.0
1080,725,0.0196,1.0
1080,729,0.0068,1.0
1080,731,0.0136,1.0
1080,734,0.0112,1.0
1080,735,0.028,1.0
1080,736,0.0164,1.0
1080,737,0.0168,1.0
1080,738,0.0196,1.0
1080,739,0.0104,1.0
1080,742,0.0188,1.0
1080,745,0.016,1.0
1080,746,0.0108,1.0
1080,747,0.006,1.0
1080,749,0.0512,1.0
1080,750,0.0016,1.0
1080,752,0.006,1.0
1080,754,0.0208,1.0
1080,757,0.0284,1.0
1080,758,0.012,1.0
1080,759,0.0212,1.0
1080,760,0.0488,1.0
1080,761,0.0208,1.0
1080,762,0.1284,1.0
1080,763,0.0156,1.0
1080,767,0.0076,1.0
1081,694,0.0016,0.995203371221198
1081,717,0.0088,1.0
1081,725,0.0276,1.0
1081,726,0.0236,1.0
1081,731,0.0056,1.0
1081,732,0.0012,1.0
1081,733,0.0408,1.0
1081,734,0.006,1.0
1081,735,0.0116,1.0
