idx_x,idx_y,crop_ratio,overlap_ratio
1658,1884,0.0036,0.998819382977395
1659,1888,0.0324,0.793832209525337
1659,1890,0.002,0.37471566595437167
1661,1881,0.0196,0.6006689503272483
1665,1890,0.0076,1.0
1665,1891,0.006,1.0
1666,1881,0.0112,0.8720276065921789
1666,1885,0.0112,0.6681187278152366
1666,1886,0.0084,0.6579952116356117
1667,1879,0.016,0.9640387469329545
1667,1880,0.0392,0.6884489624287227
1667,1885,0.006,0.7431886129802532
1667,1886,0.0068,0.7988992531547601
1668,1881,0.0248,0.9411205207776667
1670,1873,0.0748,0.5976434080712464
1670,1875,0.0072,1.0
1670,1892,0.0384,0.5922953203925947
1670,1893,0.0092,0.9959365916854269
1671,1881,0.008,1.0
1672,1878,0.0076,1.0
1673,1879,0.0064,1.0
1673,1882,0.026,1.0
1674,1873,0.0024,1.0
1674,1881,0.0084,1.0
1674,1882,0.024,1.0
1675,1873,0.022,1.0
1675,1876,0.0156,0.6321359374977739
1675,1877,0.024,1.0
1675,1879,0.01,0.9325130090740857
1675,1880,0.0084,0.8809860095635629
1675,1881,0.006,0.9903804213014038
1675,1882,0.006,0.4871598212584345
1676,1877,0.0072,1.0
1676,1879,0.0832,0.743111739987313
1681,1904,0.0916,0.7652991711475609
1683,1899,0.0016,0.5881323625783427
1684,1899,0.0344,0.43818087725543703
